Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Daniel Carlson,LVR,26,K,17,0,,,11.0,10.0,12.0,12.0,13.0,12.0,7.0,6.0,43.0,40.0,56.0,93.0%,33.0,30.0,90.9%,87.0,5560.0,53.0,60.9%,63.9
Chris Boswell,PIT,30,K,17,0,,,9.0,9.0,9.0,8.0,13.0,11.0,9.0,8.0,40.0,36.0,56.0,90.0%,29.0,27.0,93.1%,86.0,5464.0,40.0,46.5%,63.5
Nick Folk,NWE,37,K,17,0,,,9.0,9.0,11.0,11.0,11.0,11.0,8.0,5.0,39.0,36.0,53.0,92.3%,47.0,42.0,89.4%,12.0,725.0,3.0,25.0%,60.4
Greg Joseph,MIN,27,K,17,0,,,8.0,8.0,12.0,11.0,9.0,7.0,9.0,7.0,38.0,33.0,55.0,86.8%,40.0,36.0,90.0%,94.0,6004.0,76.0,80.9%,63.9
Matt Prater,ARI,37,K,17,0,,,11.0,11.0,11.0,9.0,5.0,3.0,10.0,7.0,37.0,30.0,62.0,81.1%,49.0,47.0,95.9%,97.0,6013.0,73.0,75.3%,62.0
Justin Tucker*+,BAL,32,K,17,0,,,7.0,7.0,9.0,9.0,15.0,13.0,6.0,6.0,37.0,35.0,66.0,94.6%,32.0,32.0,100.0%,90.0,5443.0,47.0,52.2%,60.5
Greg Zuerlein,DAL,34,K,16,0,,,5.0,5.0,16.0,15.0,9.0,7.0,5.0,2.0,35.0,29.0,56.0,82.9%,48.0,42.0,87.5%,100.0,6421.0,80.0,80.0%,64.2
Mason Crosby,GNB,37,K,17,0,,,9.0,9.0,13.0,9.0,8.0,4.0,4.0,3.0,34.0,25.0,54.0,73.5%,51.0,49.0,96.1%,94.0,6030.0,43.0,45.7%,64.1
Matt Gay*,LAR,27,K,17,0,,,6.0,6.0,15.0,15.0,8.0,7.0,5.0,4.0,34.0,32.0,55.0,94.1%,49.0,48.0,98.0%,102.0,6309.0,65.0,63.7%,61.9
Dustin Hopkins,2TM,31,K,17,0,1.0,1.0,8.0,8.0,6.0,6.0,14.0,13.0,5.0,2.0,34.0,30.0,50.0,88.2%,44.0,40.0,90.9%,100.0,6298.0,71.0,71.0%,63.0
Evan McPherson,CIN,22,K,16,0,,,5.0,5.0,8.0,8.0,9.0,6.0,11.0,9.0,33.0,28.0,58.0,84.8%,48.0,46.0,95.8%,91.0,5814.0,55.0,60.4%,63.9
Jake Elliott*,PHI,26,K,17,0,,,7.0,7.0,10.0,10.0,13.0,10.0,3.0,3.0,33.0,30.0,58.0,90.9%,44.0,44.0,100.0%,96.0,6071.0,61.0,63.5%,63.2
Graham Gano,NYG,34,K,17,0,,,5.0,5.0,13.0,12.0,5.0,5.0,10.0,7.0,33.0,29.0,55.0,87.9%,17.0,17.0,100.0%,63.0,3901.0,26.0,41.3%,61.9
Tyler Bass,BUF,24,K,17,0,,,15.0,15.0,8.0,7.0,5.0,4.0,4.0,2.0,32.0,28.0,57.0,87.5%,51.0,51.0,100.0%,99.0,6213.0,56.0,56.6%,62.8
Randy Bullock,TEN,32,K,16,0,,,5.0,5.0,12.0,12.0,13.0,8.0,1.0,1.0,31.0,26.0,51.0,83.9%,45.0,42.0,93.3%,89.0,5682.0,50.0,56.2%,63.8
Jason Sanders,MIA,26,K,17,0,,,6.0,6.0,9.0,7.0,10.0,8.0,6.0,2.0,31.0,23.0,51.0,74.2%,35.0,34.0,97.1%,78.0,4969.0,56.0,71.8%,63.7
Brandon McManus,DEN,30,K,17,0,,,8.0,7.0,6.0,6.0,8.0,8.0,9.0,5.0,31.0,26.0,61.0,83.9%,34.0,33.0,97.1%,78.0,4975.0,62.0,79.5%,63.8
Ryan Succop,TAM,35,K,17,0,,,11.0,11.0,8.0,7.0,10.0,7.0,1.0,,30.0,25.0,48.0,83.3%,59.0,56.0,94.9%,1.0,16.0,,,16.0
Cairo Santos,CHI,30,K,17,0,,,10.0,10.0,5.0,5.0,13.0,11.0,2.0,,30.0,26.0,47.0,86.7%,28.0,27.0,96.4%,71.0,4443.0,34.0,47.9%,62.6
Younghoe Koo,ATL,27,K,17,0,,,8.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,29.0,27.0,54.0,93.1%,30.0,30.0,100.0%,56.0,3508.0,29.0,51.8%,62.6
Harrison Butker,KAN,26,K,16,0,,,3.0,3.0,11.0,11.0,5.0,4.0,9.0,7.0,28.0,25.0,56.0,89.3%,49.0,47.0,95.9%,93.0,5853.0,61.0,65.6%,62.9
Joey Slye,3TM,25,K,12,0,,,9.0,9.0,5.0,5.0,7.0,5.0,4.0,4.0,25.0,23.0,56.0,92.0%,22.0,18.0,81.8%,58.0,3690.0,37.0,63.8%,63.6
Matthew Wright,JAX,25,K,14,0,,,7.0,7.0,7.0,7.0,4.0,3.0,6.0,4.0,24.0,21.0,56.0,87.5%,15.0,13.0,86.7%,31.0,1883.0,6.0,19.4%,60.7
Jason Myers,SEA,30,K,17,0,,,2.0,2.0,11.0,9.0,5.0,3.0,5.0,3.0,23.0,17.0,53.0,73.9%,47.0,44.0,93.6%,83.0,5078.0,31.0,37.3%,61.2
Robbie Gould,SFO,39,K,13,0,,,6.0,6.0,4.0,4.0,9.0,7.0,4.0,3.0,23.0,20.0,52.0,87.0%,40.0,39.0,97.5%,19.0,1203.0,8.0,42.1%,63.3
Michael Badgley,2TM,26,K,13,0,,,4.0,4.0,7.0,6.0,10.0,8.0,1.0,,22.0,18.0,46.0,81.8%,41.0,40.0,97.6%,5.0,270.0,3.0,60.0%,54.0
Zane Gonzalez,CAR,26,K,12,0,,,6.0,6.0,1.0,1.0,10.0,10.0,5.0,3.0,22.0,20.0,57.0,90.9%,23.0,22.0,95.7%,55.0,3568.0,35.0,63.6%,64.9
Chase McLaughlin,CLE,25,K,16,0,,,3.0,3.0,4.0,4.0,10.0,4.0,4.0,4.0,21.0,15.0,57.0,71.4%,37.0,36.0,97.3%,69.0,4347.0,31.0,44.9%,63.0
Ka'imi Fairbairn,HOU,27,K,13,0,,,4.0,4.0,5.0,5.0,4.0,2.0,6.0,4.0,19.0,15.0,61.0,78.9%,16.0,13.0,81.3%,44.0,2656.0,16.0,36.4%,60.4
