Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Deshaun Watson,25.0,HOU,QB,16.0,16.0,4-12-0,382.0,544.0,70.2,4823.0,33.0,6.1,7.0,1.3,221.0,54.5,77.0,8.9,9.5,12.6,301.4,112.4,63.7,49.0,293.0,8.26,7.64,8.22,0.0,0.0,PB
Patrick Mahomes,25.0,KAN,QB,15.0,15.0,14-1-0,390.0,588.0,66.3,4740.0,38.0,6.5,6.0,1.0,238.0,54.1,75.0,8.1,8.89,12.2,316.0,108.2,78.1,22.0,147.0,3.61,7.53,8.33,3.0,3.0,"PB,AP-2,AP MVP-3,AP OPoY-2"
Tom Brady,43.0,TAM,QB,16.0,16.0,11-5-0,401.0,610.0,65.7,4633.0,40.0,6.6,12.0,2.0,233.0,49.6,50.0,7.6,8.02,11.6,289.6,102.2,66.0,21.0,143.0,3.33,7.12,7.53,3.0,3.0,
Matt Ryan,35.0,ATL,QB,16.0,16.0,4-12-0,407.0,626.0,65.0,4581.0,26.0,4.2,11.0,1.8,242.0,47.8,63.0,7.3,7.36,11.3,286.3,93.3,59.8,41.0,257.0,6.15,6.48,6.52,0.0,0.0,
Josh Allen,24.0,BUF,QB,16.0,16.0,13-3-0,396.0,572.0,69.2,4544.0,37.0,6.5,10.0,1.7,228.0,56.5,55.0,7.9,8.45,11.5,284.0,107.2,76.6,26.0,159.0,4.35,7.33,7.82,2.0,3.0,"PB,AP-2,AP MVP-2,AP OPoY-4"
Justin Herbert,22.0,LAC,QB,15.0,15.0,6-9-0,396.0,595.0,66.6,4336.0,31.0,5.2,10.0,1.7,216.0,47.8,72.0,7.3,7.57,10.9,289.1,98.3,62.6,32.0,218.0,5.1,6.57,6.84,1.0,3.0,AP ORoY-1
Aaron Rodgers,37.0,GNB,QB,16.0,16.0,13-3-0,372.0,526.0,70.7,4299.0,48.0,9.1,5.0,1.0,216.0,55.3,78.0,8.2,9.57,11.6,268.7,121.5,79.8,20.0,182.0,3.66,7.54,8.89,1.0,2.0,"PB,AP-1,AP MVP-1,AP OPoY-2"
Kirk Cousins,32.0,MIN,QB,16.0,16.0,7-9-0,349.0,516.0,67.6,4265.0,35.0,6.8,13.0,2.5,212.0,51.2,71.0,8.3,8.49,12.2,266.6,105.0,55.8,39.0,256.0,7.03,7.22,7.43,1.0,3.0,
Russell Wilson,32.0,SEA,QB,16.0,16.0,12-4-0,384.0,558.0,68.8,4212.0,40.0,7.2,13.0,2.3,213.0,51.4,62.0,7.5,7.93,11.0,263.3,105.1,67.1,47.0,301.0,7.77,6.46,6.82,3.0,3.0,PB
Philip Rivers,39.0,IND,QB,16.0,16.0,11-5-0,369.0,543.0,68.0,4169.0,24.0,4.4,11.0,2.0,200.0,51.1,55.0,7.7,7.65,11.3,260.6,97.0,55.0,19.0,118.0,3.38,7.21,7.18,2.0,3.0,
