Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Dave Zastudil,ARI,34,P,16,0,112,5209,46.5,415,4634,41.4,70,8,7.1%,46,41.1%,0
Bryan Anger,JAX,24,P,16,0,91,4353,47.8,495,3758,40.8,73,5,5.5%,31,34.1%,1
Reggie Hodges,CLE,30,P,16,0,90,3766,41.8,343,3343,37.1,58,4,4.4%,29,32.2%,0
Donnie Jones,HOU,32,P,16,0,88,4150,47.2,483,3567,40.5,66,5,5.7%,28,31.8%,0
Robert Malone,NYJ,24,P,16,0,84,3848,45.8,375,3313,38.5,61,8,9.5%,27,32.1%,2
Dustin Colquitt*,KAN,30,P,16,0,83,3887,46.8,362,3385,40.8,71,7,8.4%,45,54.2%,0
Sam Koch,BAL,30,P,16,0,83,3911,47.1,383,3388,40.8,60,7,8.4%,28,33.7%,0
Johnny Hekker,STL,22,P,16,0,82,3756,45.8,402,3274,39.9,68,4,4.9%,22,26.8%,0
Brett Kern,TEN,26,P,16,0,81,3855,47.6,405,3350,40.4,71,5,6.2%,30,37.0%,2
Shane Lechler,OAK,36,P,16,0,81,3826,47.2,450,3196,39.0,68,9,11.1%,21,25.9%,1
Adam Podlesh,CHI,29,P,16,0,81,3399,42.0,84,3195,39.4,64,6,7.4%,34,42.0%,0
Mike Scifres,SDG,32,P,16,0,81,3914,48.3,362,3412,40.6,66,7,8.6%,30,37.0%,3
Drew Butler,PIT,23,P,16,0,77,3374,43.8,306,2948,37.8,79,6,7.8%,26,33.8%,1
Kevin Huber,CIN,27,P,16,0,76,3540,46.6,210,3190,42.0,69,7,9.2%,33,43.4%,0
Michael Koenen,TAM,30,P,16,0,76,3440,45.3,440,2880,37.4,64,6,7.9%,22,28.9%,1
Brad Nortman,CAR,23,P,16,0,76,3267,43.0,318,2809,36.5,63,7,9.2%,20,26.3%,1
Thomas Morstead*,NOR,26,P,16,0,74,3707,50.1,391,3196,43.2,70,6,8.1%,20,27.0%,0
Brandon Fields,MIA,28,P,16,0,73,3666,50.2,484,3051,41.8,67,9,12.3%,29,39.7%,0
Pat McAfee,IND,25,P,16,0,73,3500,47.9,375,2985,40.3,64,8,11.0%,26,35.6%,1
Chris Kluwe,MIN,31,P,16,0,72,3237,45.0,341,2856,39.7,59,2,2.8%,18,25.0%,0
Brian Moorman,2TM,36,P,15,0,71,3179,44.8,429,2670,37.6,66,4,5.6%,24,33.8%,0
Tim Masthay,GNB,25,P,16,0,70,3043,43.5,179,2764,38.9,65,5,7.1%,30,42.9%,1
Saverio Rocca,WAS,39,P,16,0,68,2984,43.9,320,2604,37.2,61,3,4.4%,22,32.4%,2
Britton Colquitt,DEN,27,P,16,0,67,3099,46.3,203,2822,42.1,67,4,6.0%,27,40.3%,0
Nick Harris,DET,34,P,13,0,67,2783,41.5,241,2522,37.6,58,1,1.5%,21,31.3%,0
Andy Lee+,SFO,30,P,16,0,67,3226,48.1,249,2897,43.2,66,4,6.0%,36,53.7%,0
Shawn Powell,BUF,24,P,13,0,65,2860,44.0,345,2475,38.1,62,2,3.1%,23,35.4%,0
Jon Ryan,SEA,31,P,16,0,65,2963,45.6,252,2651,40.8,73,3,4.6%,30,46.2%,0
Matthew Bosher,ATL,25,P,16,0,60,2847,47.5,241,2526,40.7,63,4,6.7%,22,36.7%,2
Zoltan Mesko,NWE,26,P,16,0,60,2585,43.1,154,2311,37.9,62,6,10.0%,28,46.7%,1
Steve Weatherford,NYG,30,P,16,0,58,2757,47.5,353,2284,39.4,68,6,10.3%,22,37.9%,0
Mat McBriar,PHI,33,P,13,0,55,2560,46.5,378,2042,36.5,66,7,12.7%,13,23.6%,1
Chas Henry,PHI,23,P,3,0,16,776,48.5,164,612,38.3,62,0,0.0%,2,12.5%,0
Chris Jones,DAL,23,P,4,0,12,542,45.2,22,520,40.0,60,0,0.0%,6,50.0%,1
Ben Graham,DET,39,P,3,0,6,248,41.3,77,171,28.5,46,0,0.0%,2,33.3%,0
Jason Hanson,DET,42,K,16,0,3,118,39.3,10,108,36.0,46,0,0.0%,1,33.3%,0
Nate Kaeding,2TM,30,K,5,0,2,84,42.0,0,15,7.5,49,1,50.0%,0,0.0%,0
Dan Carpenter,MIA,27,K,14,0,1,29,29.0,0,29,29.0,29,0,0.0%,1,100.0%,0
Ben Roethlisberger,PIT,30,QB,13,13,1,26,26.0,0,26,26.0,26,0,0.0%,1,100.0%,0
