Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Pierre Garcon,27.0,WAS,16.0,16.0,181.0,113.0,1346.0,11.9,5.0,61.0,50.8,53.0,7.1,84.1,62.4,7.4,1.0,AP CPoY-6
Antonio Brown,25.0,PIT,16.0,14.0,167.0,110.0,1499.0,13.6,8.0,70.0,53.3,56.0,6.9,93.7,65.9,9.0,1.0,"PB,AP-2"
Andre Johnson,32.0,HOU,16.0,16.0,181.0,109.0,1407.0,12.9,5.0,69.0,50.3,62.0,6.8,87.9,60.2,7.8,0.0,PB
Julian Edelman,27.0,NWE,16.0,11.0,151.0,105.0,1056.0,10.1,6.0,54.0,52.3,44.0,6.6,66.0,69.5,7.0,6.0,
Brandon Marshall,29.0,CHI,16.0,16.0,164.0,100.0,1295.0,13.0,12.0,70.0,53.0,44.0,6.3,80.9,61.0,7.9,0.0,PB
A.J. Green,25.0,CIN,16.0,16.0,178.0,98.0,1426.0,14.6,11.0,65.0,47.2,82.0,6.1,89.1,55.1,8.0,1.0,"PB,AP-2"
Kendall Wright,24.0,TEN,16.0,12.0,139.0,94.0,1079.0,11.5,2.0,55.0,52.5,45.0,5.9,67.4,67.6,7.8,2.0,
Dez Bryant,25.0,DAL,16.0,16.0,159.0,93.0,1233.0,13.3,13.0,68.0,52.2,79.0,5.8,77.1,58.5,7.8,3.0,PB
Demaryius Thomas,26.0,DEN,16.0,16.0,142.0,92.0,1430.0,15.5,14.0,66.0,58.5,78.0,5.8,89.4,64.8,10.1,1.0,"PB,AP-2"
Alshon Jeffery,23.0,CHI,16.0,14.0,148.0,89.0,1421.0,16.0,7.0,62.0,52.0,80.0,5.6,88.8,60.1,9.6,3.0,PB
Eric Decker,26.0,DEN,16.0,16.0,136.0,87.0,1288.0,14.8,11.0,63.0,58.1,61.0,5.4,80.5,64.0,9.5,2.0,
