Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Dexter McCluster*,KAN,24,WR,15,6,58.0,686.0,2,89.0,11.8,1.0,3.0,0,3.0,3.0,1205
Golden Tate,SEA,25,WR,16,13,51.0,585.0,0,71.0,11.5,3.0,57.0,0,24.0,19.0,1571
Keshawn Martin,HOU,23,WR,16,1,39.0,345.0,1,87.0,8.8,36.0,947.0,0,50.0,26.3,1545
Brandon Tate,CIN,26,WR,16,0,36.0,336.0,0,43.0,9.3,35.0,914.0,0,71.0,26.1,1256
Julian Edelman,NWE,27,WR,16,11,35.0,374.0,0,43.0,10.7,,,0,,,1441
Marcus Thigpen,MIA,27,RB,16,0,34.0,264.0,0,34.0,7.8,39.0,878.0,0,50.0,22.5,1257
Tavon Austin,STL,23,WR,13,3,33.0,280.0,1,98.0,8.5,18.0,398.0,0,32.0,22.1,1247
Patrick Peterson*+,ARI,23,LCB,16,16,33.0,198.0,0,22.0,6.0,1.0,18.0,0,18.0,18.0,350
Trindon Holliday,DEN,27,WR,15,0,32.0,271.0,1,81.0,8.5,28.0,775.0,1,105.0,27.7,1053
Antonio Brown*,PIT,25,WR,16,14,32.0,409.0,1,67.0,12.8,1.0,16.0,0,16.0,16.0,1928
Leodis McKelvin,BUF,28,LCB,15,13,32.0,180.0,0,21.0,5.6,,,0,,,180
Darren Sproles,NOR,30,RB,15,4,29.0,194.0,0,28.0,6.7,12.0,255.0,0,32.0,21.3,1273
Rueben Randle,NYG,22,WR,16,3,29.0,237.0,0,32.0,8.2,,,0,,,848
Ted Ginn Jr.,CAR,28,WR,16,2,26.0,316.0,0,41.0,12.2,25.0,595.0,0,38.0,23.8,1496
Ace Sanders,JAX,22,WR,15,4,25.0,140.0,0,17.0,5.6,3.0,75.0,0,31.0,25.0,703
Micah Hyde,GNB,23,DB,16,3,24.0,296.0,1,93.0,12.3,22.0,531.0,0,70.0,24.1,827
Eric Page,TAM,22,WR,16,1,23.0,251.0,0,52.0,10.9,22.0,548.0,0,44.0,24.9,881
Micheal Spurlock,2TM,30,WR,11,0,23.0,207.0,0,62.0,9.0,18.0,389.0,0,36.0,21.6,596
LaMichael James,SFO,24,RB,10,0,23.0,251.0,0,40.0,10.9,12.0,321.0,0,41.0,26.8,647
Tandon Doss,BAL,24,WR,15,2,23.0,359.0,1,82.0,15.6,,,0,,,664
Travis Benjamin,CLE,24,WR,8,3,22.0,257.0,1,79.0,11.7,3.0,146.0,0,86.0,48.7,553
Marcus Sherels,MIN,26,DB,16,3,22.0,335.0,1,86.0,15.2,,,0,,,335
Dwayne Harris,DAL,26,WR,13,3,20.0,256.0,1,86.0,12.8,28.0,857.0,0,90.0,30.6,1199
Jacoby Jones,BAL,29,WR,12,9,19.0,237.0,0,37.0,12.5,31.0,892.0,1,77.0,28.8,1584
Robert McClain,ATL,25,RCB,16,6,19.0,193.0,0,25.0,10.2,,,0,,,193
Devin Hester,CHI,31,PR,16,0,18.0,256.0,1,81.0,14.2,52.0,1436.0,0,80.0,27.6,1692
Darius Reynaud,2TM,29,WR,9,0,18.0,135.0,0,35.0,7.5,18.0,430.0,0,40.0,23.9,569
Santana Moss,WAS,34,WR,16,1,18.0,130.0,0,18.0,7.2,1.0,15.0,0,15.0,15.0,622
Jeremy Ross,2TM,25,WR,13,2,17.0,263.0,1,58.0,15.5,21.0,514.0,1,98.0,24.5,884
T.Y. Hilton,IND,24,WR,16,10,17.0,159.0,0,34.0,9.4,,,0,,,1248
Keenan Allen,SDG,21,WR,15,14,15.0,125.0,0,28.0,8.3,,,0,,,1171
DeSean Jackson*,PHI,27,WR,16,16,14.0,71.0,0,32.0,5.1,1.0,10.0,0,10.0,10.0,1415
Jeremy Kerley,NYJ,25,WR,12,8,13.0,115.0,0,24.0,8.8,1.0,19.0,0,19.0,19.0,668
Damaris Johnson,PHI,24,WR,13,0,12.0,100.0,0,21.0,8.3,17.0,441.0,0,33.0,25.9,555
Kyle Williams,2TM,25,WR,10,5,12.0,61.0,0,22.0,5.1,7.0,134.0,0,35.0,19.1,331
Adam Jones,CIN,30,RCB,16,13,11.0,88.0,0,27.0,8.0,,,0,,,191
Cole Beasley,DAL,24,WR,14,3,10.0,68.0,0,14.0,6.8,1.0,11.0,0,11.0,11.0,447
Harry Douglas,ATL,29,WR,16,11,10.0,57.0,0,15.0,5.7,,,0,,,1124
Wes Welker,DEN,32,WR,13,13,10.0,70.0,0,27.0,7.0,,,0,,,848
Jacoby Ford,OAK,26,WR,14,1,9.0,77.0,0,14.0,8.6,11.0,253.0,0,30.0,23.0,444
Josh Cribbs,NYJ,30,WR,6,0,8.0,96.0,0,21.0,12.0,20.0,490.0,0,42.0,24.5,647
Josh Morgan,WAS,28,WR,14,7,8.0,59.0,0,34.0,7.4,12.0,239.0,0,25.0,19.9,525
Griff Whalen,IND,23,WR,9,3,8.0,104.0,0,51.0,13.0,1.0,22.0,0,22.0,22.0,385
Phillip Adams,OAK,25,DB,16,2,8.0,59.0,0,30.0,7.4,,,0,,,85
Jordan Poyer,2TM,22,DB,12,0,8.0,114.0,0,38.0,14.3,,,0,,,114
Chris Thompson,WAS,23,RB,4,0,7.0,36.0,0,11.0,5.1,8.0,160.0,0,28.0,20.0,196
Jim Leonhard,BUF,31,SS,16,7,7.0,63.0,0,25.0,9.0,,,0,,,135
Eddie Royal,SDG,27,WR,15,3,7.0,41.0,0,12.0,5.9,,,0,,,693
Justin Veltung,STL,22,WR,3,0,7.0,61.0,0,15.0,8.7,,,0,,,61
Leon Washington,2TM,31,RB,7,0,6.0,78.0,0,33.0,13.0,17.0,500.0,0,95.0,29.4,579
Greg Jenkins,OAK,24,WR,6,0,6.0,49.0,0,14.0,8.2,10.0,221.0,0,29.0,22.1,293
Will Blackmon,JAX,29,LCB,15,8,5.0,2.0,0,5.0,0.4,,,0,,,24
Chris Rainey,IND,25,RB,2,0,4.0,29.0,0,18.0,7.3,6.0,131.0,0,27.0,21.8,160
Damian Williams,TEN,25,WR,10,1,4.0,12.0,0,8.0,3.0,5.0,123.0,0,37.0,24.6,313
Davone Bess,CLE,28,WR,14,3,4.0,19.0,0,11.0,4.8,,,0,,,381
Armanti Edwards,2TM,25,QB,6,0,4.0,28.0,0,12.0,7.0,,,0,,,38
Kyle Wilson,NYJ,26,DB,16,1,4.0,13.0,0,6.0,3.3,,,0,,,13
LaVon Brazill,IND,24,WR,10,0,3.0,25.0,0,17.0,8.3,3.0,57.0,0,21.0,19.0,243
Randall Cobb,GNB,23,WR,6,4,3.0,23.0,0,16.0,7.7,1.0,10.0,0,10.0,10.0,544
Jayron Hosley,NYG,23,DB,11,1,3.0,9.0,0,8.0,3.0,,,0,,,9
Shiloh Keo,HOU,26,FS,16,11,3.0,15.0,0,9.0,5.0,,,0,,,27
Devon Wylie,TEN,25,WR,2,0,2.0,4.0,0,4.0,2.0,5.0,94.0,0,23.0,18.8,98
Lance Moore,NOR,30,WR,13,5,2.0,0.0,0,0.0,0.0,,,0,,,457
Austin Pettis,STL,25,WR,16,6,2.0,37.0,0,32.0,18.5,,,0,,,436
Javier Arenas,ARI,26,DB,16,0,1.0,0.0,0,0.0,0.0,23.0,493.0,0,46.0,21.4,493
Travaris Cadet,NOR,24,RB,13,0,1.0,0.0,0,0.0,0.0,9.0,239.0,0,82.0,26.6,244
Nick Williams,WAS,23,WR,5,0,1.0,0.0,0,0.0,0.0,9.0,188.0,0,29.0,20.9,203
Skye Dawson,TAM,23,WR,7,0,1.0,17.0,0,17.0,17.0,3.0,67.0,0,25.0,22.3,111
John Kuhn,GNB,31,RB,15,6,1.0,0.0,0,0.0,0.0,2.0,40.0,0,21.0,20.0,159
Alterraun Verner*,TEN,25,RCB,16,16,1.0,11.0,0,11.0,11.0,1.0,17.0,0,17.0,17.0,105
Robert Alford,ATL,25,DB,16,4,1.0,0.0,0,0.0,0.0,,,0,,,-5
Danny Amendola,NWE,28,WR,12,6,1.0,13.0,0,13.0,13.0,,,0,,,647
Richie Brockel,CAR,27,TE,16,0,1.0,0.0,0,0.0,0.0,,,0,,,13
Ryan Broyles,DET,25,WR,6,3,1.0,4.0,0,4.0,4.0,,,0,,,89
Darius Butler,IND,27,LCB,16,7,1.0,9.0,0,9.0,9.0,,,0,,,88
Tony Carter,DEN,27,DB,12,2,1.0,0.0,0,0.0,0.0,,,0,,,0
Jack Crawford,OAK,25,DE,15,0,1.0,-1.0,0,-1.0,-1.0,,,0,,,-1
Eric Decker,DEN,26,WR,16,16,1.0,2.0,0,2.0,2.0,,,0,,,1290
Drayton Florence,CAR,33,DB,14,5,1.0,0.0,0,0.0,0.0,,,0,,,40
Chad Hall,KAN,27,WR,9,0,1.0,9.0,0,9.0,9.0,,,0,,,29
Charles James,NYG,23,DB,12,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Brandon LaFell,CAR,27,WR,16,16,1.0,0.0,0,0.0,0.0,,,0,,,642
Trumaine McBride,NYG,28,LCB,15,10,1.0,0.0,0,0.0,0.0,,,0,,,17
Jerome Murphy,WAS,26,DB,11,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Chase Reynolds,STL,26,RB,16,0,1.0,0.0,0,0.0,0.0,,,0,,,0
Richard Sherman*+,SEA,25,LCB,16,16,1.0,-6.0,0,-6.0,-6.0,,,0,,,119
Josh Thomas,CAR,24,LCB,13,6,1.0,0.0,0,0.0,0.0,,,0,,,0
Lardarius Webb,BAL,28,LCB,16,16,1.0,13.0,0,13.0,13.0,,,0,,,32
Usama Young,OAK,28,DB,12,1,1.0,0.0,0,0.0,0.0,,,0,,,26
Cordarrelle Patterson*+,MIN,22,WR,16,6,,,0,,,43.0,1393.0,2,109.0,32.4,2020
Quintin Demps,KAN,28,DB,16,6,,,0,,,33.0,992.0,1,95.0,30.1,1053
Fozzy Whittaker,2TM,24,RB,14,2,,,0,,,29.0,638.0,0,56.0,22.0,872
