Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
Matt Bryant*,ATL,41,K,16,0,,,,,,,,,,,,56.0,57.0,34.0,37.0,,158,9.9
Justin Tucker*+,BAL,27,K,16,0,,,,,,,,,,,,27.0,27.0,38.0,39.0,,141,8.8
Dustin Hopkins,WAS,26,K,16,0,,,,,,,,,,,,36.0,39.0,34.0,42.0,,138,8.6
Caleb Sturgis,PHI,27,K,16,0,,,,,,,,,,,,30.0,31.0,35.0,41.0,,135,8.4
Wil Lutz,NOR,22,K,16,0,,,,,,,,,,,,49.0,50.0,28.0,34.0,,133,8.3
Cairo Santos,KAN,25,K,16,0,,,,,,,,,,,,36.0,39.0,31.0,35.0,,129,8.1
Stephen Hauschka,SEA,31,K,16,0,,,,,,,,,,,,29.0,35.0,33.0,37.0,,128,8.0
Dan Bailey,DAL,28,K,16,0,,,,,,,,,,,,46.0,46.0,27.0,32.0,,127,7.9
Stephen Gostkowski,NWE,32,K,16,0,,,,,,,,,,,,46.0,49.0,27.0,32.0,,127,7.9
Nick Novak,HOU,35,K,16,0,,,,,,,,,,,,22.0,25.0,35.0,41.0,,127,7.9
Adam Vinatieri,IND,44,K,16,0,,,,,,,,,,,,44.0,44.0,27.0,31.0,,125,7.8
Sebastian Janikowski,OAK,38,K,16,0,,,,,,,,,,,,37.0,39.0,29.0,35.0,,124,7.8
Matt Prater*,DET,32,K,16,0,,,,,,,,,,,,31.0,33.0,31.0,36.0,,124,7.8
Mason Crosby,GNB,32,K,16,0,,,,,,,,,,,,44.0,47.0,26.0,30.0,,122,7.6
David Johnson*+,ARI,25,RB,16,16,16.0,4.0,,,,,,20.0,1.0,,,,,,,,122,7.6
Graham Gano,CAR,29,K,16,0,,,,,,,,,,,,31.0,34.0,30.0,38.0,,121,7.6
Josh Lambo,SDG,26,K,16,0,,,,,,,,,,,,42.0,46.0,26.0,32.0,,120,7.5
Brandon McManus,DEN,25,K,16,0,,,,,,,,,,,,32.0,33.0,29.0,34.0,,119,7.4
Jason Myers,JAX,25,K,16,0,,,,,,,,,,,,29.0,32.0,27.0,34.0,,110,6.9
LeGarrette Blount,NWE,30,RB,16,8,18.0,,,,,,,18.0,,,,,,,,,108,6.8
Chandler Catanzaro,ARI,25,K,16,0,,,,,,,,,,,,43.0,47.0,21.0,28.0,,106,6.6
Nick Folk,NYJ,32,K,16,0,,,,,,,,,,,,24.0,26.0,27.0,31.0,,105,6.6
