Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Julius Adams,32,NWE,RDE,16,16,0,0,0,0,0,0,0,0,8.5,,0,PB
Charles Alexander,23,CIN,RB,16,16,0,0,0,0,2,0,0,0,0.0,,0,
Lyle Alzado,31,CLE,RDE,16,16,0,0,0,0,0,0,0,0,9.0,,0,AP-1
Dick Ambrose,27,CLE,RILB,16,16,0,0,0,0,0,0,0,0,1.0,,0,
Ottis Anderson,23,STL,RB,16,16,0,0,0,0,5,4,0,0,0.0,,0,"PB,AP-2"
William Andrews,25,ATL,FB,16,16,0,0,0,0,6,2,0,0,0.0,,0,PB
Coy Bacon,38,WAS,RDE,16,16,0,0,0,0,0,2,0,0,11.0,,0,
Gary Barbaro,26,KAN,FS,16,16,10,163,0,39,0,1,0,0,0.0,,0,"PB,AP-2"
Mike Barber,27,HOU,TE,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Steve Bartkowski,28,ATL,QB,16,16,0,0,0,0,6,2,0,0,0.0,,0,"PB,AP MVP-3"
Bob Baumhower,25,MIA,NT,16,16,0,0,0,0,0,4,14,0,4.0,,0,
Terry Beeson,25,SEA,MLB,16,16,0,0,0,0,0,0,0,0,1.0,,0,
Bill Bergey,35,PHI,LILB,16,16,1,7,0,7,0,2,0,0,2.0,,0,
Doug Betters,24,MIA,RDE,16,16,0,0,0,0,0,1,0,0,4.0,,0,
Gregg Bingham,29,HOU,RILB,16,16,0,0,0,0,1,2,9,0,1.0,,0,
Stan Blinka,23,NYJ,MLB,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Mel Blount,32,PIT,RCB,16,16,4,28,0,17,0,1,32,0,0.0,,0,
Kim Bokamper,26,MIA,LOLB,16,16,1,6,0,6,0,0,0,0,5.5,,0,
Ron Bolton,30,CLE,LCB,16,16,6,62,0,29,0,0,0,0,0.0,,0,
Henry Bradley,27,CLE,NT,16,16,0,0,0,0,0,1,0,0,3.0,,0,
Robert Brazile,27,HOU,ROLB,16,16,2,38,0,33,0,0,0,0,6.5,,0,"PB,AP-2"
Bob Breunig,27,DAL,MLB,16,16,3,34,0,15,0,0,0,0,1.0,,0,"PB,AP-2"
Greg Bright,23,CIN,SS,16,16,1,5,0,5,0,3,0,0,1.0,,0,
