Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Julius Adams,34,NWE,RDE,9,9,0,0,0,0,,0,1,0,0,2.0,,0,
Dave Ahrens,24,STL,MLB,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Charles Alexander,25,CIN,RB,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Dan Alexander,27,NYJ,RG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Carl Allen,27,STL,RCB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,
Jeff Allen,25,SDG,LCB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,
Marcus Allen,22,RAI,RB,9,9,0,0,0,0,,5,2,0,0,0.0,,0,"PB,AP-1,AP MVP-3,AP OPoY-2,AP ORoY-1"
Lyle Alzado,33,RAI,RDE,9,9,0,0,0,0,,0,1,7,0,7.0,,0,
Dick Ambrose,29,CLE,RILB,9,9,1,0,0,0,,0,1,0,0,0.0,,0,
John Anderson,26,GNB,LOLB,9,9,3,22,0,9,,0,2,0,0,0.5,,0,
Ken Anderson,33,CIN,QB,9,9,0,0,0,0,,1,0,0,0,0.0,,0,PB
George Andrews,27,RAM,RLB,9,9,0,0,0,0,,0,1,0,0,3.0,,0,
William Andrews,27,ATL,FB,9,9,0,0,0,0,,1,1,0,0,0.0,,0,"PB,AP-2"
Edwin Bailey,23,SEA,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Charles Baker,25,STL,RLB,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Jesse Baker,25,HOU,RDE,9,9,0,0,0,0,,0,1,56,0,7.5,,0,
Ron Baker,28,PHI,RG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Chip Banks,23,CLE,LOLB,9,9,1,14,0,14,,0,0,0,0,5.5,,0,"PB,AP DRoY-1"
Gary Barbaro,28,KAN,FS,9,9,3,48,1,43,,0,1,8,0,0.0,,0,PB
Mike Barber,29,RAM,TE,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Benny Barnes,31,DAL,SS,9,9,0,0,0,0,,0,2,0,0,1.0,,0,
Steve Bartkowski,30,ATL,QB,9,9,0,0,0,0,,7,1,-10,0,0.0,,0,
Don Blackmon,24,NWE,ROLB,9,9,2,7,0,7,,0,2,47,0,4.5,,0,
Glenn Blackwood,25,MIA,SS,9,9,2,42,1,35,,1,1,0,0,2.0,,0,
Lyle Blackwood,31,MIA,FS,9,9,2,41,0,21,,0,1,0,0,1.0,,0,
Matt Blair,32,MIN,LOLB,9,9,0,0,0,0,,0,0,0,0,1.5,,0,PB
Jerry Blanton,26,KAN,LILB,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Mel Blount,34,PIT,RCB,9,9,1,2,0,2,,0,0,0,0,0.0,,0,
Matt Bouza,23,BAL,WR,9,9,0,0,0,0,,1,1,0,0,0.0,,0,
Terry Bradshaw,34,PIT,QB,9,9,0,0,0,0,,5,1,-3,0,0.0,,0,
Mark Brammer,24,BUF,TE,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Scot Brantley,24,TAM,RILB,9,9,0,0,0,0,,0,1,0,0,2.0,,0,
Robert Brazile,29,HOU,ROLB,9,9,1,31,0,31,,0,1,0,0,6.5,,0,PB
Bob Breunig,29,DAL,MLB,9,9,1,1,0,1,,0,1,0,0,1.5,,0,PB
Pete Brock,28,NWE,C,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Cedric Brown,28,TAM,FS,9,9,3,31,0,24,,0,1,0,0,0.0,,0,
Charlie Brown,24,WAS,WR,9,9,0,0,0,0,,1,1,0,0,0.0,,0,PB
Dave Brown,29,SEA,RCB,9,9,1,3,0,3,,0,2,15,0,0.0,,0,
Rush Brown,28,STL,RDT,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Ross Browner,28,CIN,RDE,9,9,1,29,0,29,,0,0,0,0,3.0,,0,
Bob Brudzinski,27,MIA,LOLB,9,9,1,5,0,5,,0,1,0,0,4.5,,0,
Scott Brunner,25,NYG,QB,9,9,0,0,0,0,,5,3,-12,0,0.0,,0,
Jeff Bryant,22,SEA,RDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
John Bunting,32,PHI,LOLB,9,9,1,0,0,0,,0,0,0,0,3.0,,0,
Clinton Burrell,26,CLE,SS,9,9,1,14,1,14,,0,4,0,0,2.0,,0,
Lloyd Burruss,25,KAN,SS,9,9,1,25,0,25,,0,0,0,0,0.0,,0,
Bobby Butler,23,ATL,LCB,9,9,2,0,0,0,,0,0,0,0,0.0,,0,
Mike Butler,28,GNB,LDE,9,9,0,0,0,0,,0,1,0,0,2.0,,0,
Ray Butler,26,BAL,WR,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Dave Butz,32,WAS,LDT,9,9,0,0,0,0,,0,1,0,0,4.5,,0,
Lynn Cain,27,ATL,RB,9,9,0,0,0,0,,2,0,0,0,0.0,,0,
Earl Campbell,27,HOU,RB,9,9,0,0,0,0,,2,1,0,0,0.0,,0,
Gary Campbell,30,CHI,RLB,9,9,0,0,0,0,,0,2,0,0,1.0,,0,
Harry Carson,29,NYG,RILB,9,9,1,6,0,6,,0,0,0,0,3.0,,0,"PB,AP-2"
David Carter,29,HOU,C,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Dave Casper,30,HOU,TE,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Jimmy Cefalo,26,MIA,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Barney Chavous,31,DEN,LDE,9,9,0,0,0,0,,0,0,0,0,5.0,,1,
Todd Christensen,26,RAI,TE,9,9,0,0,0,0,,3,0,0,0,0.0,,0,
Bruce Clark,24,NOR,LDE,9,9,0,0,0,0,,0,0,0,0,5.5,,0,AP DRoY-3
Mario Clark,28,BUF,LCB,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Ken Clarke,26,PHI,NT,9,9,0,0,0,0,,0,1,0,0,4.5,,0,
Raymond Clayborn,27,NWE,RCB,9,9,1,26,0,26,,0,1,0,0,0.0,,0,
Robin Cole,27,PIT,ROLB,9,9,0,0,0,0,,0,0,0,0,5.0,,0,
Tony Collins,23,NWE,RB,9,9,0,0,0,0,,5,2,0,0,0.0,,0,
Cris Collinsworth,23,CIN,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,"PB,AP-2"
Neal Colzie,28,TAM,SS,9,9,3,64,0,51,,0,2,0,0,2.0,,0,"AP-2,AP DPoY-8"
Jim Cooper,27,DAL,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Tom Cousineau,25,CLE,LILB,9,9,1,6,0,6,,0,0,0,0,1.0,,0,AP DRoY-7
Nolan Cromwell,27,RAM,FS,9,9,3,33,0,21,,0,1,6,0,0.0,,0,"PB,AP-1"
George Cumby,26,GNB,RILB,9,9,1,4,0,4,,0,1,0,0,0.0,,0,
Bill Currier,27,NYG,SS,9,9,1,0,0,0,,0,0,0,0,2.0,,0,
Buddy Curry,24,ATL,RILB,9,9,1,0,0,0,,0,0,0,0,1.0,,0,
Isaac Curtis,32,CIN,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Bruce Davis,26,RAI,LT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Mike Davis,26,RAI,SS,9,9,1,56,1,56,,0,1,0,0,2.5,,0,
Mike Dawson,29,STL,LDT,9,9,1,0,0,0,,0,0,0,0,3.5,,0,
Joe Devlin,28,BUF,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Lynn Dickey,33,GNB,QB,9,9,0,0,0,0,,5,2,-1,0,0.0,,0,
Dan Dierdorf,33,STL,C,9,9,0,0,0,0,,1,0,-13,0,0.0,,0,
Hanford Dixon,24,CLE,RCB,9,9,4,22,0,22,,1,0,0,0,1.0,,0,
Ray Donaldson,24,BAL,C,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Tony Dorsett,28,DAL,RB,9,9,0,0,0,0,,6,1,0,0,0.0,,0,"PB,AP-2"
Reggie Doss,26,RAM,RDE,9,9,0,0,0,0,,0,1,0,0,4.0,,0,
Mike Douglass,27,GNB,ROLB,9,9,2,55,0,30,,0,1,6,0,3.0,,0,
Michael Downs,23,DAL,FS,9,9,1,22,0,22,,0,3,87,1,1.0,,0,
A.J. Duhe,27,MIA,LILB,9,9,1,0,0,0,,0,0,0,0,2.0,,0,
Gary Dunn,29,PIT,NT,9,9,0,0,0,0,,0,0,0,0,6.0,,0,
John Dutton,31,DAL,LDT,9,9,0,0,0,0,,0,0,0,0,2.0,,0,
Eddie Edwards,28,CIN,LDE,9,9,0,0,0,0,,0,1,0,0,6.0,,0,
Herm Edwards,28,PHI,RCB,9,9,5,3,0,3,,0,0,0,0,0.0,,0,
Doug English,29,DET,RDT,9,9,0,0,0,0,,0,1,0,0,4.5,,0,"PB,AP-1"
Gary Fencik,28,CHI,SS,9,9,2,2,0,2,,0,0,0,0,0.0,,0,
Joe Ferguson,32,BUF,QB,9,9,0,0,0,0,,5,2,-10,1,0.0,,0,
Dan Fouts,31,SDG,QB,9,9,0,0,0,0,,2,3,0,0,0.0,,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
Amos Fowler,26,DET,C,9,9,0,0,0,0,,0,2,-4,0,0.0,,0,
Andra Franklin,23,MIA,FB,9,9,0,0,0,0,,3,0,0,0,0.0,,0,PB
Steve Freeman,29,BUF,SS,9,9,3,27,0,14,,0,1,0,0,1.0,,0,
Russell Gary,23,NOR,SS,9,9,2,25,0,19,,0,2,0,0,3.0,,0,
Mark Gastineau,26,NYJ,LDE,9,9,0,0,0,0,,0,0,0,0,6.0,,0,"PB,AP-1,AP DPoY-5"
Jimmie Giles,28,TAM,TE,9,9,0,0,0,0,,2,1,0,0,0.0,,0,PB
Tom Glassic,28,DEN,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Bob Glazebrook,26,ATL,SS,9,9,1,10,0,10,,0,2,91,1,0.0,,0,
John Goodman,24,PIT,LDE,9,9,0,0,0,0,,0,0,0,0,1.5,,0,
Larry Gordon,28,MIA,ROLB,9,9,1,15,0,15,,0,0,0,0,3.0,,0,
Randy Gradishar,30,DEN,RILB,9,9,0,0,0,0,,0,1,0,0,2.0,,0,PB
Johnnie Gray,29,GNB,SS,9,9,1,21,0,21,,0,0,0,0,0.0,,0,
Gary Green,27,KAN,LCB,9,9,2,42,1,42,,0,1,18,0,0.0,,0,PB
Hugh Green,23,TAM,ROLB,9,9,1,31,0,31,,0,0,0,0,2.3,,0,"PB,AP-2"
Jacob Green,25,SEA,LDE,9,9,0,0,0,0,,0,0,0,0,3.0,,0,
Roy Green,25,STL,WR,9,9,0,0,0,0,,1,1,2,0,0.0,,0,
Curtis Greer,25,STL,RDE,9,9,0,0,0,0,,0,3,0,0,7.5,,0,
Russ Grimm,23,WAS,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Elois Grooms,29,STL,LDE,9,9,0,0,0,0,,0,1,0,0,4.5,,0,
