Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Anthony Adams,25,SFO,NT,16,16,0,0,0,0,1,0,0,0,0,0,2.5,40,24,16,3,0,
Keith Adams,26,PHI,RLB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,69,59,10,3,0,
Brent Alexander,34,NYG,FS,16,16,4,45,0,24,12,0,0,1,9,0,0.0,61,46,15,1,0,
Shaun Alexander,28,SEA,RB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Larry Allen,34,DAL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,PB
Will Allen,27,NYG,LCB,16,16,0,17,0,17,11,1,0,1,0,0,0.0,73,65,8,1,0,
Nnamdi Asomugha,24,OAK,LCB,16,16,0,0,0,0,14,0,0,0,0,0,0.0,60,55,5,2,0,
Ronde Barber,30,TAM,RCB,16,16,5,105,0,42,20,0,0,1,4,0,2.0,99,83,16,2,0,"PB,AP-1"
Tiki Barber,30,NYG,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,"PB,AP-1,AP MVP-4,AP OPoY-3"
Nick Barnett,24,GNB,MLB,16,16,1,95,1,95,2,1,0,3,17,0,1.0,139,92,47,9,0,
Drew Bledsoe,33,DAL,QB,16,16,0,0,0,0,0,0,17,3,-12,0,0.0,0,0,0,0,0,
Colby Bockwoldt,24,NOR,RLB,16,16,0,0,0,0,3,0,0,1,0,0,0.0,89,60,29,6,0,
Michael Boulware,24,SEA,SS,16,16,4,107,0,40,9,1,0,0,0,0,2.0,73,58,15,3,0,
Gary Brackett,25,IND,MLB,16,16,3,50,0,31,6,0,0,0,0,0,1.0,127,92,35,0,0,
Tom Brady,28,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-4"
Drew Brees,26,SDG,QB,16,16,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0,0,0,
Lance Briggs,25,CHI,RLB,16,16,2,30,1,20,11,1,0,2,0,0,2.0,109,85,24,8,0,"PB,AP-1,AP DPoY-6"
Raheem Brock,27,IND,LDE,16,16,0,0,0,0,2,4,0,1,15,0,6.5,51,42,9,11,0,
Keith Brooking,30,ATL,MLB,16,16,4,50,0,22,10,0,0,1,0,0,3.5,115,89,26,5,0,PB
Derrick Brooks,32,TAM,RLB,16,16,1,0,0,0,11,1,0,0,0,0,3.0,125,93,32,10,0,"PB,AP-1"
Alex Brown,26,CHI,RDE,16,16,0,0,0,0,6,3,0,0,0,0,6.0,46,39,7,12,0,AP DPoY-6
Sheldon Brown,26,PHI,RCB,16,16,4,67,1,40,27,1,0,1,80,1,1.0,57,48,9,2,0,
Brentson Buckner,34,CAR,LDT,16,16,0,0,0,0,5,0,0,1,0,0,1.0,36,28,8,6,0,
Keith Bulluck,28,TEN,RLB,16,16,2,16,0,16,10,1,0,1,0,0,5.0,138,102,36,12,0,
Kelly Butler,23,DET,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Cooper Carlisle,28,DEN,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
David Carr,26,HOU,QB,16,16,0,0,0,0,0,0,17,6,-7,0,0.0,0,0,0,0,0,
Ahmad Carroll,22,GNB,LCB,16,16,2,38,0,38,10,0,1,0,0,0,0.0,44,41,3,1,0,
Kevin Carter,32,MIA,LDE,16,16,0,0,0,0,3,1,0,1,0,0,6.0,53,34,19,9,1,
Chris Chambers,27,MIA,WR,16,16,0,0,0,0,0,0,5,2,-2,0,0.0,0,0,0,0,0,PB
