Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Will Witherspoon,29,2TM,LLB,17,16,1,9,1,9,5,1,0,0,0,0,1.0,90,79,11,5,1,0,
Will Witherspoon,29,STL,RLB,6,6,0,0,0,0,0,0,0,0,0,0,0.0,32,28,4,2,0,0,
Will Witherspoon,29,PHI,LLB,11,10,1,9,1,9,5,1,0,0,0,0,1.0,58,51,7,3,1,0,
Jared Allen,27,MIN,RDE,16,16,1,-4,0,-4,4,5,0,3,54,1,14.5,51,43,8,19,23,1,"PB,AP-1,AP DPoY-5"
Nnamdi Asomugha,28,OAK,RCB,16,16,1,0,0,0,3,0,0,0,0,0,0.0,34,30,4,8,0,0,"PB,AP-2"
Donnie Avery,25,STL,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
Jonathan Babineaux,28,ATL,LDT,16,16,0,0,0,0,2,2,0,2,0,0,6.0,47,37,10,13,10,0,
Jordan Babineaux,27,SEA,FS,16,16,2,18,0,18,6,1,0,0,0,0,1.5,104,75,29,3,3,0,
Champ Bailey,31,DEN,LCB,16,16,3,18,0,11,15,1,0,0,0,0,0.0,74,63,11,3,0,0,PB
Ronde Barber,34,TAM,RCB,16,16,0,0,0,0,6,2,0,1,0,0,2.0,77,69,8,9,4,0,
Nick Barnett,28,GNB,RILB,16,16,0,0,0,0,7,0,0,0,0,0,4.0,106,83,23,12,4,0,
Jon Beason,24,CAR,MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,141,111,30,14,5,0,"PB,AP-2"
Antoine Bethea,25,IND,FS,16,16,4,19,0,19,5,2,0,1,0,0,0.0,95,70,25,2,1,0,PB
Tom Brady,32,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,"PB,AP CPoY-1"
Tyvon Branch,23,OAK,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,124,98,26,6,1,0,
Alex Brown,30,CHI,RDE,16,16,0,0,0,0,1,1,0,1,0,0,6.0,48,36,12,10,18,0,
Duane Brown,24,HOU,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Mike Brown,31,KAN,SS,16,16,3,13,0,10,3,0,0,1,4,0,2.0,103,79,24,3,2,0,
Sheldon Brown,30,PHI,RCB,16,16,5,152,1,83,17,1,0,1,60,1,0.0,51,43,8,2,0,0,
Brodrick Bunkley,26,PHI,RDT,16,16,0,0,0,0,4,0,0,1,0,0,1.0,37,30,7,5,2,0,
Greg Camarillo,27,MIA,WR,16,16,0,0,0,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,
Jason Campbell,28,WAS,QB,16,16,0,0,0,0,0,0,13,5,-15,0,0.0,0,0,0,0,0,0,
Vernon Carey,28,MIA,RT,16,16,0,0,0,0,0,0,0,2,-9,0,0.0,0,0,0,0,0,0,
Cooper Carlisle,32,OAK,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
John Carlson,25,SEA,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Brandon Carr,23,KAN,RCB,16,16,1,31,0,31,19,1,0,2,1,0,0.0,62,56,6,2,0,0,
Andre Carter,30,WAS,RDE,16,16,0,0,0,0,4,3,0,0,0,0,11.0,62,48,14,19,21,0,
Dallas Clark,30,IND,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
Barry Cofield,25,NYG,LDT,16,16,0,0,0,0,2,0,0,0,0,0,1.0,35,23,12,5,3,0,
Trent Cole,27,PHI,RDE,16,16,0,0,0,0,0,2,0,0,0,0,12.5,57,48,9,17,28,0,"PB,AP-2"
Erik Coleman,27,ATL,SS,16,16,0,0,0,0,5,2,0,0,0,0,0.0,116,82,34,3,0,0,
Nick Collins,26,GNB,FS,16,16,6,110,0,31,13,0,0,2,4,0,1.0,53,44,9,3,1,0,"PB,AP-2"
Stephen Cooper,30,SDG,LILB,16,16,0,0,0,0,8,2,0,2,0,0,0.0,102,71,31,2,0,0,
Derek Cox,23,JAX,LCB,16,16,4,6,0,6,11,0,1,1,5,0,0.0,72,58,14,1,0,0,
Antonio Cromartie,25,SDG,RCB,16,16,3,17,0,16,10,0,0,0,0,0,0.0,33,31,2,0,0,0,
Brian Cushing,22,HOU,LLB,16,16,4,26,0,20,10,2,0,0,0,0,4.0,133,86,47,12,12,1,"PB,AP DRoY-1"
Jay Cutler,26,CHI,QB,16,16,0,0,0,0,0,0,9,5,-8,0,0.0,0,0,0,0,0,0,
Karlos Dansby,28,ARI,LILB,16,16,1,11,0,11,4,1,0,0,0,0,1.0,109,89,20,7,6,0,
Brian Dawkins,36,DEN,FS,16,16,2,0,0,0,10,1,0,3,0,0,0.0,116,95,21,6,2,0,"PB,AP-2"
Thomas DeCoud,24,ATL,FS,16,16,3,25,0,15,7,2,0,1,0,0,2.0,68,57,11,3,3,0,
David Diehl,29,NYG,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Darnell Dockett,28,ARI,RDE,16,16,1,3,0,3,2,1,1,1,0,0,7.0,51,42,9,18,16,0,"PB,AP-2"
Donald Driver,34,GNB,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Ray Edwards,24,MIN,LDE,16,16,0,0,0,0,2,1,0,1,0,0,8.5,51,43,8,15,26,0,
Abram Elam,28,CLE,FS,16,16,0,0,0,0,2,1,0,1,0,0,1.0,91,74,17,3,2,0,
Alan Faneca,33,NYJ,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
James Farrior,34,PIT,LILB,16,16,1,18,0,18,5,1,0,1,1,0,3.0,102,68,34,4,6,0,
Brett Favre,40,MIN,QB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-4,AP CPoY-4"
D'Brickashaw Ferguson,26,NYJ,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB
Ronald Fields,28,DEN,NT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,37,22,15,1,0,0,
