Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Anthony Adams,30,CHI,RDT,16,16,0,0,0,0,1,2,0,0,0,0,2.0,37,33,4,9.0,5.0,0,
Flozell Adams,35,PIT,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Jared Allen,28,MIN,RDE,16,16,2,40,1,36,6,1,0,1,0,0,11.0,60,45,15,14.0,25.0,0,
Tyson Alualu,23,JAX,LDT,16,16,0,0,0,0,1,0,0,0,0,0,3.5,38,29,9,7.0,9.0,0,
Miles Austin,26,DAL,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Remi Ayodele,27,NOR,LDT,16,16,0,0,0,0,1,1,0,0,0,0,1.0,37,21,16,3.0,2.0,0,
David Baas,29,SFO,C,16,16,0,0,0,0,0,0,2,0,-24,0,0.0,0,0,0,0.0,0.0,0,
Jason Babin,30,TEN,LDE,16,16,0,0,0,0,0,2,0,0,0,0,12.5,58,44,14,16.0,27.0,0,PB
Jeff Backus,33,DET,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Alan Ball,25,DAL,FS,16,16,2,27,0,27,4,1,0,0,0,0,0.5,46,41,5,0.0,1.0,0,
Justin Bannan,31,DEN,RDE,16,16,0,0,0,0,4,1,0,0,0,0,1.0,35,25,10,3.0,9.0,0,
Ronde Barber,35,TAM,RCB,16,16,3,98,0,64,13,0,0,0,0,0,1.0,82,66,16,10.0,5.0,0,
Jon Beason,25,CAR,RLB/MLB,16,16,1,7,0,7,8,2,0,0,0,0,1.0,121,90,31,10.0,2.0,0,PB
Jacob Bell,29,STL,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Yeremiah Bell,32,MIA,SS,16,16,1,21,0,21,5,2,0,1,4,0,1.5,101,83,18,4.0,3.0,0,
Cedric Benson,28,CIN,RB,16,16,0,0,0,0,0,0,7,1,0,0,0.0,0,0,0,0.0,0.0,0,
Eric Berry,22,KAN,SS,16,16,4,102,1,54,9,1,0,0,0,0,2.0,92,77,15,5.0,6.0,0,PB
Antoine Bethea,26,IND,FS,16,16,1,31,0,31,5,1,0,0,0,0,0.5,106,77,29,1.0,5.0,0,
Matt Birk,34,BAL,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Anquan Boldin,30,BAL,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
Dwayne Bowe,26,KAN,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2"
Sam Bradford,23,STL,QB,16,16,0,0,0,0,0,0,7,3,-2,0,0.0,0,0,0,0.0,0.0,0,AP ORoY-1
Tom Brady,33,NWE,QB,16,16,0,0,0,0,0,0,3,1,-5,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Tyvon Branch,24,OAK,SS,16,16,1,15,0,15,2,1,0,2,76,1,4.0,103,80,23,11.0,6.0,0,
Drew Brees,31,NOR,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0.0,0.0,0,PB
Keith Brooking,35,DAL,RILB,16,16,1,41,0,41,7,0,0,0,0,0,1.0,97,73,24,4.0,4.0,0,
Alex Brown,31,NOR,LDE,16,16,0,0,0,0,3,1,0,1,0,0,2.0,39,32,7,6.0,7.0,0,
Levi Brown,26,ARI,LT,16,16,0,0,0,0,0,0,0,3,-1,1,0.0,0,0,0,0.0,0.0,0,
Ronnie Brown,29,MIA,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,1,0,1,0.0,0.0,0,
Sheldon Brown,31,CLE,RCB,16,16,2,0,0,0,10,0,0,0,0,0,0.0,63,51,12,1.0,1.0,0,
Kevin Burnett,28,SDG,RILB,16,16,2,31,1,29,5,1,0,1,0,0,6.0,96,81,15,12.0,7.0,0,
Chris Canty,28,NYG,RDT,16,16,0,0,0,0,3,1,0,0,0,0,1.5,39,28,11,4.0,4.0,0,
Cooper Carlisle,33,OAK,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
Brandon Carr,24,KAN,RCB,16,16,1,0,0,0,25,0,0,2,23,0,0.0,57,46,11,0.0,0.0,0,
Chris Carr,27,BAL,LCB,16,16,2,13,0,12,8,3,0,0,0,0,0.0,61,54,7,2.0,0.0,0,
Adam Carriker,26,WAS,LDE,16,16,0,0,0,0,1,0,0,1,0,0,1.5,37,22,15,5.0,2.0,0,
Luis Castillo,27,SDG,RDE,16,16,0,0,0,0,0,0,0,1,10,0,2.5,26,19,7,4.0,3.0,0,
Jacques Cesaire,30,SDG,LDE,16,16,0,0,0,0,0,0,0,0,0,0,1.5,31,23,8,3.0,4.0,0,
Tyson Clabo,29,ATL,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
Nate Clements,31,SFO,RCB,16,16,3,46,0,39,10,3,1,0,0,0,1.0,82,72,10,8.0,1.0,0,
