Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Stephen Gostkowski*,NWE,29,K,16,0,1.0,1.0,8.0,8.0,13.0,13.0,13.0,11.0,6.0,5.0,41.0,38.0,54.0,92.7%,44.0,44.0,100.0%,99.0,6315.0,65.0,65.7%,63.8
Justin Tucker*+,BAL,24,K,16,0,,,9.0,9.0,14.0,13.0,11.0,10.0,7.0,6.0,41.0,38.0,61.0,92.7%,26.0,26.0,100.0%,82.0,5114.0,42.0,51.2%,62.4
Adam Vinatieri,IND,41,K,15,0,,,6.0,6.0,11.0,10.0,17.0,15.0,6.0,4.0,40.0,35.0,52.0,87.5%,34.0,34.0,100.0%,,,,,
Nick Novak,SDG,32,K,16,0,1.0,1.0,9.0,9.0,16.0,13.0,9.0,9.0,2.0,2.0,37.0,34.0,50.0,91.9%,42.0,42.0,100.0%,92.0,6031.0,18.0,19.6%,65.6
Mason Crosby,GNB,29,K,16,0,1.0,1.0,13.0,13.0,8.0,8.0,8.0,6.0,7.0,5.0,37.0,33.0,57.0,89.2%,42.0,42.0,100.0%,57.0,3480.0,13.0,22.8%,61.1
Phil Dawson,SFO,38,K,16,0,,,13.0,12.0,6.0,6.0,11.0,10.0,6.0,4.0,36.0,32.0,56.0,88.9%,44.0,44.0,100.0%,91.0,5896.0,38.0,41.8%,64.8
Jay Feely,ARI,37,K,16,0,,,11.0,9.0,8.0,7.0,12.0,11.0,5.0,3.0,36.0,30.0,52.0,83.3%,37.0,37.0,100.0%,86.0,5629.0,33.0,38.4%,65.5
Dan Carpenter,BUF,28,K,16,0,,,13.0,13.0,6.0,6.0,11.0,10.0,6.0,4.0,36.0,33.0,55.0,91.7%,32.0,32.0,100.0%,83.0,5286.0,34.0,41.0%,63.7
Nick Folk,NYJ,29,K,16,0,,,8.0,8.0,11.0,10.0,14.0,12.0,3.0,3.0,36.0,33.0,54.0,91.7%,27.0,27.0,100.0%,73.0,4582.0,30.0,41.1%,62.8
Stephen Hauschka,SEA,28,K,16,0,,,11.0,10.0,9.0,9.0,12.0,11.0,3.0,3.0,35.0,33.0,53.0,94.3%,44.0,44.0,100.0%,94.0,6118.0,48.0,51.1%,65.1
Randy Bullock,HOU,24,K,16,0,1.0,1.0,7.0,7.0,5.0,5.0,17.0,12.0,5.0,1.0,35.0,26.0,51.0,74.3%,26.0,26.0,100.0%,67.0,4381.0,29.0,43.3%,65.4
Caleb Sturgis,MIA,24,K,16,0,1.0,1.0,4.0,4.0,12.0,10.0,10.0,8.0,7.0,3.0,34.0,26.0,54.0,76.5%,33.0,33.0,100.0%,74.0,4783.0,38.0,51.4%,64.6
Shaun Suisham,PIT,32,K,16,0,,,9.0,9.0,15.0,13.0,8.0,8.0,,,32.0,30.0,48.0,93.8%,39.0,39.0,100.0%,86.0,5123.0,24.0,27.9%,59.6
Dan Bailey,DAL,25,K,16,0,2.0,2.0,2.0,2.0,9.0,8.0,10.0,10.0,7.0,6.0,30.0,28.0,53.0,93.3%,47.0,47.0,100.0%,93.0,5815.0,52.0,55.9%,62.5
Blair Walsh,MIN,23,K,16,0,,,7.0,7.0,12.0,12.0,6.0,5.0,5.0,2.0,30.0,26.0,54.0,86.7%,44.0,43.0,97.7%,84.0,5241.0,43.0,51.2%,62.4
Garrett Hartley,NOR,27,K,14,0,2.0,2.0,6.0,5.0,8.0,5.0,13.0,9.0,1.0,1.0,30.0,22.0,55.0,73.3%,41.0,41.0,100.0%,1.0,9.0,,,9.0
Sebastian Janikowski,OAK,35,K,16,0,,,6.0,6.0,6.0,4.0,11.0,8.0,7.0,3.0,30.0,21.0,53.0,70.0%,37.0,37.0,100.0%,74.0,4363.0,38.0,51.4%,59.0
Robbie Gould,CHI,31,K,16,0,,,11.0,11.0,7.0,6.0,7.0,6.0,4.0,3.0,29.0,26.0,58.0,89.7%,46.0,45.0,97.8%,89.0,5228.0,38.0,42.7%,58.7
Rob Bironas,TEN,35,K,16,0,,,10.0,10.0,9.0,8.0,7.0,5.0,3.0,2.0,29.0,25.0,55.0,86.2%,41.0,41.0,100.0%,80.0,4875.0,32.0,40.0%,60.9
Rian Lindell,TAM,36,K,16,0,,,3.0,3.0,14.0,12.0,6.0,4.0,6.0,4.0,29.0,23.0,54.0,79.3%,31.0,31.0,100.0%,,,,,
Ryan Succop,KAN,27,K,16,0,,,6.0,6.0,10.0,9.0,8.0,6.0,4.0,1.0,28.0,22.0,51.0,78.6%,52.0,52.0,100.0%,91.0,5860.0,47.0,51.6%,64.4
Alex Henery,PHI,26,K,16,0,,,8.0,8.0,8.0,7.0,10.0,7.0,2.0,1.0,28.0,23.0,51.0,82.1%,45.0,45.0,100.0%,90.0,5583.0,37.0,41.1%,62.0
Greg Zuerlein,STL,26,K,16,0,,,7.0,7.0,10.0,10.0,9.0,8.0,2.0,1.0,28.0,26.0,54.0,92.9%,34.0,34.0,100.0%,78.0,5094.0,52.0,66.7%,65.3
Graham Gano,CAR,26,K,16,0,,,9.0,9.0,5.0,4.0,7.0,5.0,6.0,6.0,27.0,24.0,55.0,88.9%,42.0,42.0,100.0%,80.0,5185.0,63.0,78.8%,64.8
Matt Bryant,ATL,38,K,16,0,,,9.0,9.0,8.0,7.0,5.0,5.0,5.0,3.0,27.0,24.0,53.0,88.9%,39.0,39.0,100.0%,,,,,
Matt Prater*,DEN,29,K,16,0,2.0,2.0,4.0,4.0,5.0,5.0,8.0,8.0,7.0,6.0,26.0,25.0,64.0,96.2%,75.0,75.0,100.0%,114.0,7348.0,81.0,71.1%,64.5
