Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
Ka'imi Fairbairn,HOU,24,K,16,0,1,1,9,9,11,11,15,12,6,4,42,37,54,88.1%,41,39,95.1%,92,5885,58,63.0%,64.0
Justin Tucker+,BAL,29,K,16,0,,,12,12,9,9,11,9,7,5,39,35,56,89.7%,37,36,97.3%,92,5765,58,63.0%,62.7
Mason Crosby,GNB,34,K,16,0,,,4,4,11,10,15,11,7,5,37,30,53,81.1%,36,34,94.4%,83,5168,41,49.4%,62.3
Jason Myers*,NYJ,27,K,16,0,,,4,4,14,13,11,10,7,6,36,33,56,91.7%,33,30,90.9%,82,5255,60,73.2%,64.1
Brett Maher,DAL,29,K,16,0,,,10,10,8,6,11,7,7,6,36,29,62,80.6%,33,32,97.0%,77,4984,52,67.5%,64.7
Robbie Gould,SFO,36,K,16,0,,,9,9,13,13,10,9,2,2,34,33,53,97.1%,29,27,93.1%,4,102,,,25.5
Aldrick Rosas*,NYG,24,K,16,0,,,9,9,13,13,6,6,5,4,33,32,57,97.0%,32,31,96.9%,85,5186,51,60.0%,61.0
Stephen Gostkowski,NWE,34,K,16,0,,,11,11,10,10,6,4,5,2,32,27,52,84.4%,50,49,98.0%,93,5784,50,53.8%,62.2
Matt Prater,DET,34,K,16,0,,,8,8,12,12,7,5,5,3,32,28,54,87.5%,30,30,100.0%,6,343,3,50.0%,57.2
Greg Zuerlein,LAR,31,K,11,0,,,9,9,10,10,6,4,6,4,31,27,56,87.1%,36,35,97.2%,75,4843,57,76.0%,64.6
Jake Elliott,PHI,23,K,16,0,,,7,7,11,10,8,7,5,2,31,26,56,83.9%,35,33,94.3%,82,5210,57,69.5%,63.5
Wil Lutz,NOR,24,K,16,0,1,1,5,5,9,9,12,11,3,2,30,28,54,93.3%,53,52,98.1%,101,6503,64,63.4%,64.4
Cody Parkey,CHI,26,K,16,0,,,6,6,10,7,12,9,2,1,30,23,50,76.7%,45,42,93.3%,89,5627,65,73.0%,63.2
Ryan Succop,TEN,32,K,16,0,,,6,5,13,13,7,5,4,3,30,26,54,86.7%,31,28,90.3%,70,4480,45,64.3%,64.0
Dustin Hopkins,WAS,28,K,16,0,,,5,5,7,7,12,10,5,4,29,26,56,89.7%,26,25,96.2%,70,4443,56,80.0%,63.5
Dan Bailey,MIN,30,K,14,0,,,6,5,11,11,9,4,2,1,28,21,52,75.0%,31,30,96.8%,69,4164,35,50.7%,60.3
Stephen Hauschka,BUF,33,K,16,0,,,3,3,8,8,10,7,7,4,28,22,54,78.6%,26,25,96.2%,66,3958,30,45.5%,60.0
Harrison Butker,KAN,23,K,16,0,,,9,9,7,7,7,6,4,2,27,24,54,88.9%,69,65,94.2%,110,7000,72,65.5%,63.6
Sebastian Janikowski,SEA,40,K,16,0,,,2,2,11,9,9,8,5,3,27,22,56,81.5%,51,48,94.1%,74,4648,42,56.8%,62.8
Adam Vinatieri,IND,46,K,16,0,,,8,8,7,6,6,5,6,4,27,23,54,85.2%,47,44,93.6%,,,,,
Brandon McManus,DEN,27,K,16,0,,,5,5,6,6,7,7,7,2,25,20,53,80.0%,35,35,100.0%,73,4473,42,57.5%,61.3
Randy Bullock,CIN,29,K,16,0,,,4,4,8,7,6,6,5,2,23,19,51,82.6%,41,39,95.1%,79,4969,45,57.0%,62.9
Matt Bryant,ATL,43,K,13,0,,,4,4,5,5,7,7,5,4,21,20,57,95.2%,35,33,94.3%,,,,,
Daniel Carlson,2TM,23,K,12,0,,,2,2,4,3,12,9,3,3,21,17,50,81.0%,24,24,100.0%,54,3334,29,53.7%,61.7
Josh Lambo,JAX,28,K,13,0,,,4,4,8,8,4,3,5,4,21,19,57,90.5%,20,19,95.0%,54,3283,36,66.7%,60.8
Chris Boswell,PIT,27,K,15,0,,,3,3,6,4,10,5,1,1,20,13,50,65.0%,48,43,89.6%,81,5097,50,61.7%,62.9
Jason Sanders,MIA,23,K,16,0,,,7,7,3,3,9,7,1,1,20,18,50,90.0%,36,35,97.2%,70,4395,55,78.6%,62.8
Chandler Catanzaro,2TM,27,K,13,0,,,4,4,10,9,3,,3,3,20,16,59,80.0%,35,30,85.7%,65,4118,52,80.0%,63.4
Greg Joseph,CLE,24,K,14,0,,,4,4,7,7,7,5,2,1,20,17,51,85.0%,29,25,86.2%,69,4340,47,68.1%,62.9
Cairo Santos,2TM,27,K,9,0,1,1,4,4,6,6,6,3,1,,18,14,45,77.8%,23,22,95.7%,49,2977,19,38.8%,60.8
Graham Gano,CAR,31,K,12,0,,,3,3,5,4,4,4,4,3,16,14,63,87.5%,33,30,90.9%,62,3940,47,75.8%,63.5
Michael Badgley,LAC,23,K,10,0,,,4,4,5,5,5,5,2,1,16,15,59,93.8%,28,27,96.4%,,,,,
Zane Gonzalez,2TM,23,K,7,0,,,1,1,4,4,4,2,5,2,14,9,55,64.3%,11,8,72.7%,28,1802,17,60.7%,64.4
Caleb Sturgis,LAC,29,K,6,0,,,4,4,2,2,6,3,1,,13,9,49,69.2%,15,9,60.0%,,,,,
Matthew McCrane,3TM,24,K,5,0,,,3,3,2,2,5,3,2,,12,8,47,66.7%,9,9,100.0%,21,1250,5,23.8%,59.5
Phil Dawson,ARI,43,K,10,0,,,2,2,2,2,3,1,1,,8,5,43,62.5%,15,15,100.0%,32,1982,14,43.8%,61.9
Mike Nugent,OAK,36,K,3,0,,,3,3,,,2,2,1,1,6,6,52,100.0%,5,4,80.0%,14,858,6,42.9%,61.3
Giorgio Tavecchio,ATL,28,K,3,0,,,1,1,,,2,2,2,2,5,5,56,100.0%,8,8,100.0%,,,,,
Kai Forbath,JAX,31,K,3,0,,,2,2,1,1,1,1,1,,5,4,41,80.0%,3,3,100.0%,,,,,
Sam Ficken,LAR,26,K,2,0,,,1,,1,1,1,,,,3,1,34,33.3%,10,10,100.0%,13,804,11,84.6%,61.8
Johnny Hekker,LAR,28,P,16,0,,,1,1,,,,,,,1,1,20,100.0%,1,1,100.0%,6,381,2,33.3%,63.5
Matthew Bosher,ATL,31,P,16,0,,,,,,,,,,,,,,,,,,89,5578,51,57.3%,62.7
Rigoberto Sanchez,IND,24,P,16,0,,,,,,,,,,,,,,,,,,88,5435,59,67.0%,61.8
Bradley Pinion,SFO,24,P,16,0,,,,,,,,,,,,,,,,,,77,4963,52,67.5%,64.5
Sam Martin,DET,28,P,16,0,,,,,,,,,,,,,,,,,,73,4459,34,46.6%,61.1
Logan Cooke,JAX,23,P,16,0,,,,,,,,,,,,,,,,,,10,625,5,50.0%,62.5
Michael Dickson*+,SEA,22,P,16,0,,,,,,,,,,,,,,,,,,9,407,,,45.2
Thomas Morstead,NOR,32,P,16,0,,,,,,,,,,,,,,,,,,2,95,,,47.5
Bryan Anger,TAM,30,P,16,0,,,,,,,,,,,,,,,,,,1,73,,,73.0
Daren Bates,TEN,28,LB,16,0,,,,,,,,,,,,,,,,,,1,13,,,13.0
Britton Colquitt,CLE,33,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56.0
Dustin Colquitt,KAN,36,P,16,0,,,,,,,,,,,,,,,,,,1,60,,,60.0
Lac Edwards,NYJ,26,P,16,0,,,,,,,,,,,,,,,,,,1,56,,,56.0
Brett Kern*,TEN,32,P,16,0,,,,,,,,,,,,,,,,,,1,43,,,43.0
Andy Lee,ARI,36,P,16,0,,,,,,,,,,,,,,,,,,1,68,,,68.0
JK Scott,GNB,23,P,16,0,,,,,,,,,,,,,,,,,,1,61,,,61.0
