Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Dan Fouts,30,SDG,QB,16,16,10-6-0,360,609,59.1,4802,33,5.4,17,2.8,67,7.9,7.71,13.3,300.1,90.6,19,134,3.03,7.43,7.27,3,3,"PB,AP MVP-6,AP OPoY-5"
Tommy Kramer,26,MIN,QB,14,14,7-7-0,322,593,54.3,3912,26,4.4,24,4.0,63,6.6,5.65,12.1,279.4,72.6,19,149,3.10,6.15,5.23,2,2,
Brian Sipe,32,CLE,QB,16,16,5-11-0,313,567,55.2,3876,17,3.0,25,4.4,62,6.8,5.45,12.4,242.3,68.2,34,310,5.66,5.93,4.63,2,2,
Steve Bartkowski,29,ATL,QB,16,16,7-9-0,297,533,55.7,3829,30,5.6,23,4.3,70,7.2,6.37,12.9,239.3,79.2,37,287,6.49,6.21,5.45,1,1,PB
Ken Anderson,32,CIN,QB,16,16,12-4-0,300,479,62.6,3754,29,6.1,10,2.1,74,7.8,8.11,12.5,234.6,98.4,25,140,4.96,7.17,7.43,2,2,"PB,AP-1,AP MVP-1,AP OPoY-1"
Joe Ferguson,31,BUF,QB,16,16,10-6-0,252,498,50.6,3652,24,4.8,20,4.0,67,7.3,6.49,14.5,228.3,74.1,15,137,2.92,6.85,6.03,2,2,
Joe Theismann,32,WAS,QB,16,16,8-8-0,293,496,59.1,3568,19,3.8,20,4.0,79,7.2,6.15,12.2,223.0,77.3,28,259,5.34,6.31,5.32,2,2,
Joe Montana,25,SFO,QB,16,16,13-3-0,311,488,63.7,3565,19,3.9,12,2.5,78,7.3,6.98,11.5,222.8,88.4,26,193,5.06,6.56,6.25,2,2,"PB,AP-2,AP MVP-2,AP OPoY-3"
Doug Williams,26,TAM,QB,16,16,9-7-0,238,471,50.5,3563,19,4.0,14,3.0,84,7.6,7.03,15.0,222.7,76.8,18,135,3.68,7.01,6.50,2,3,
Richard Todd,28,NYJ,QB,16,16,10-5-1,279,497,56.1,3231,25,5.0,13,2.6,49,6.5,6.33,11.6,201.9,81.8,30,224,5.69,5.71,5.54,2,1,
Craig Morton,38,DEN,QB,15,15,10-5-0,225,376,59.8,3195,21,5.6,14,3.7,95,8.5,7.94,14.2,213.0,90.5,54,394,12.56,6.51,6.03,2,2,AP MVP-4
Danny White,29,DAL,QB,16,15,11-4-0,223,391,57.0,3098,22,5.6,13,3.3,73,7.9,7.55,13.9,193.6,87.5,30,234,7.13,6.80,6.46,2,2,
Ron Jaworski,30,PHI,QB,16,16,10-6-0,250,461,54.2,3095,23,5.0,20,4.3,85,6.7,5.76,12.4,193.4,73.8,21,197,4.36,6.01,5.10,0,1,
Bert Jones,30,BAL,QB,15,15,2-13-0,244,426,57.3,3094,21,4.9,20,4.7,67,7.3,6.14,12.7,206.3,76.9,31,263,6.78,6.19,5.14,0,0,
Terry Bradshaw,33,PIT,QB,14,14,8-6-0,201,370,54.3,2887,22,5.9,14,3.8,90,7.8,7.29,14.4,206.2,83.9,17,155,4.39,7.06,6.57,0,2,
Jim Zorn,28,SEA,QB,13,13,4-9-0,236,397,59.4,2788,13,3.3,9,2.3,80,7.0,6.66,11.8,214.5,82.4,24,201,5.70,6.14,5.80,1,1,
Lynn Dickey,32,GNB,QB,13,13,6-7-0,204,354,57.6,2593,17,4.8,15,4.2,75,7.3,6.38,12.7,199.5,79.0,40,298,10.15,5.82,4.97,0,0,
David Woodley,23,MIA,QB,15,15,11-3-1,191,366,52.2,2470,12,3.3,13,3.6,69,6.7,5.81,12.9,164.7,69.8,24,191,6.15,5.84,4.96,1,2,
Eric Hipple,24,DET,QB,16,10,6-4-0,140,279,50.2,2358,14,5.0,15,5.4,94,8.5,7.04,16.8,147.4,73.4,27,208,8.82,7.03,5.74,2,2,
Vince Evans,26,CHI,QB,16,16,6-10-0,195,436,44.7,2354,11,2.5,20,4.6,85,5.4,3.84,12.1,147.1,51.1,23,173,5.01,4.75,3.27,0,2,
Marc Wilson,24,OAK,QB,13,9,5-4-0,173,366,47.3,2311,14,3.8,19,5.2,66,6.3,4.74,13.4,177.8,58.9,30,241,7.58,5.23,3.78,4,3,
Phil Simms,26,NYG,QB,10,10,5-5-0,172,316,54.4,2031,11,3.5,9,2.8,80,6.4,5.84,11.8,203.1,74.0,38,301,10.73,4.89,4.36,0,2,
Ken Stabler,36,HOU,QB,13,12,5-7-0,165,285,57.9,1988,14,4.9,18,6.3,71,7.0,5.12,12.0,152.9,69.5,29,254,9.24,5.52,3.83,0,0,
Bill Kenney,26,KAN,QB,13,13,8-5-0,147,274,53.6,1983,9,3.3,16,5.8,64,7.2,5.27,13.5,152.5,63.6,20,160,6.80,6.20,4.36,1,0,
Steve Grogan,28,NWE,QB,8,7,1-6-0,117,216,54.2,1859,7,3.2,16,7.4,76,8.6,5.92,15.9,232.4,63.0,19,137,8.09,7.33,4.86,0,0,
Pat Haden,28,RAM,QB,13,11,5-6-0,138,267,51.7,1815,9,3.4,13,4.9,67,6.8,5.28,13.2,139.6,64.4,28,227,9.49,5.38,4.01,0,0,
Jim Hart,37,STL,QB,10,9,3-6-0,134,241,55.6,1694,11,4.6,14,5.8,58,7.0,5.33,12.6,169.4,68.7,16,119,6.23,6.13,4.53,0,1,
Matt Cavanaugh,25,NWE,QB,16,8,1-7-0,115,219,52.5,1633,5,2.3,13,5.9,65,7.5,5.24,14.2,102.1,59.8,24,165,9.88,6.04,4.05,0,0,
Neil Lomax,22,STL,QB,14,7,4-2-0,119,236,50.4,1575,4,1.7,10,4.2,75,6.7,5.11,13.2,112.5,59.9,32,286,11.94,4.81,3.43,0,1,
Archie Manning,32,NOR,QB,12,11,3-8-0,134,232,57.8,1447,5,2.2,11,4.7,55,6.2,4.53,10.8,120.6,63.6,21,164,8.30,5.07,3.51,0,0,
Dave Wilson,22,NOR,QB,11,4,1-3-0,82,159,51.6,1058,1,0.6,11,6.9,50,6.7,3.67,12.9,96.2,46.1,12,121,7.02,5.48,2.70,0,0,
Jim Plunkett,34,OAK,QB,9,7,2-5-0,94,179,52.5,1045,4,2.2,9,5.0,42,5.8,4.02,11.1,116.1,56.7,22,184,10.95,4.28,2.67,0,0,
Scott Brunner,24,NYG,QB,16,6,4-2-0,79,190,41.6,978,5,2.6,11,5.8,43,5.1,3.07,12.4,61.1,42.8,9,67,4.52,4.58,2.59,1,3,
Steve Fuller,24,KAN,QB,13,3,1-2-0,77,134,57.5,934,3,2.2,4,3.0,53,7.0,6.07,12.1,71.8,74.0,17,117,11.26,5.41,4.62,1,1,
Don Strock,31,MIA,QB,16,1,0-1-0,79,130,60.8,901,6,4.6,8,6.2,52,6.9,5.08,11.4,56.3,71.3,6,45,4.41,6.29,4.53,2,2,
Dave Krieg,23,SEA,QB,7,3,2-1-0,64,112,57.1,843,7,6.3,5,4.5,57,7.5,6.77,13.2,120.4,83.3,11,85,8.94,6.16,5.47,1,1,
Steve DeBerg,27,DEN,QB,14,1,0-1-0,64,108,59.3,797,6,5.6,6,5.6,44,7.4,5.99,12.5,56.9,77.6,7,67,6.09,6.35,5.04,0,0,
David Whitehurst,26,GNB,QB,9,3,2-1-0,66,128,51.6,792,7,5.5,5,3.9,46,6.2,5.52,12.0,88.0,72.8,10,78,7.25,5.17,4.56,1,1,
Gary Danielson,30,DET,QB,6,4,2-2-0,56,96,58.3,784,3,3.1,5,5.2,45,8.2,6.45,14.0,130.7,73.4,12,84,11.11,6.48,4.95,0,1,
Dan Pastorini,32,RAM,QB,7,5,1-4-0,64,152,42.1,719,2,1.3,14,9.2,46,4.7,0.85,11.2,102.7,22.9,14,149,8.43,3.43,-0.12,1,1,
Gifford Nielsen,27,HOU,QB,5,2,1-1-0,60,93,64.5,709,5,5.4,3,3.2,44,7.6,7.25,11.8,141.8,92.1,8,61,7.92,6.42,6.07,1,1,
Steve Dils,26,MIN,QB,2,2,0-2-0,54,102,52.9,607,1,1.0,2,2.0,44,6.0,5.26,11.2,303.5,66.1,8,66,7.27,4.92,4.28,0,0,
Mark Malone,23,PIT,QB,8,3,0-2-0,45,88,51.1,553,3,3.4,5,5.7,30,6.3,4.41,12.3,69.1,58.6,10,76,10.20,4.87,3.18,0,0,
