Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Tom Brady,28.0,NWE,QB,16.0,16.0,10-6-0,334.0,530.0,63.0,4110.0,26.0,4.9,14.0,2.6,197.0,49.6,71.0,7.8,7.55,12.3,256.9,92.3,26.0,188.0,4.68,7.05,6.86,3.0,4.0,"PB,AP-2,AP MVP-3,AP OPoY-4"
Trent Green,35.0,KAN,QB,16.0,16.0,10-6-0,317.0,507.0,62.5,4014.0,17.0,3.4,10.0,2.0,182.0,48.2,60.0,7.9,7.7,12.7,250.9,90.1,32.0,204.0,5.94,7.07,6.86,2.0,3.0,PB
Brett Favre,36.0,GNB,QB,16.0,16.0,4-12-0,372.0,607.0,61.3,3881.0,20.0,3.3,29.0,4.8,202.0,46.4,59.0,6.4,4.9,10.4,242.6,70.9,24.0,170.0,3.8,5.88,4.45,1.0,1.0,
Carson Palmer,26.0,CIN,QB,16.0,16.0,11-5-0,345.0,509.0,67.8,3836.0,32.0,6.3,12.0,2.4,198.0,50.9,70.0,7.5,7.73,11.1,239.8,101.1,19.0,105.0,3.6,7.07,7.26,1.0,3.0,"PB,AP MVP-5,AP OPoY-4"
Eli Manning,24.0,NYG,QB,16.0,16.0,11-5-0,294.0,557.0,52.8,3762.0,24.0,4.3,17.0,3.1,176.0,42.4,78.0,6.8,6.24,12.8,235.1,75.9,28.0,184.0,4.79,6.12,5.63,1.0,2.0,
Kerry Collins,33.0,OAK,QB,15.0,15.0,4-11-0,302.0,565.0,53.5,3759.0,20.0,3.5,12.0,2.1,180.0,41.6,79.0,6.7,6.41,12.4,250.6,77.3,39.0,261.0,6.46,5.79,5.56,1.0,1.0,
Peyton Manning,29.0,IND,QB,16.0,16.0,14-2-0,305.0,453.0,67.3,3747.0,28.0,6.2,10.0,2.2,198.0,55.7,80.0,8.3,8.51,12.3,234.2,104.1,17.0,81.0,3.62,7.8,8.03,1.0,1.0,"PB,AP-1,AP MVP-2,AP OPoY-2"
Drew Bledsoe,33.0,DAL,QB,16.0,16.0,9-7-0,300.0,499.0,60.1,3639.0,23.0,4.6,17.0,3.4,178.0,43.4,71.0,7.3,6.68,12.1,227.4,83.7,49.0,295.0,8.94,6.1,5.55,4.0,5.0,
Drew Brees,26.0,SDG,QB,16.0,16.0,9-7-0,323.0,500.0,64.6,3576.0,24.0,4.8,15.0,3.0,183.0,48.2,54.0,7.2,6.76,11.1,223.5,89.2,27.0,223.0,5.12,6.36,5.99,2.0,2.0,
Matt Hasselbeck,30.0,SEA,QB,16.0,16.0,13-3-0,294.0,449.0,65.5,3459.0,24.0,5.3,9.0,2.0,182.0,53.7,56.0,7.7,7.87,11.8,216.2,98.2,24.0,154.0,5.07,6.99,7.15,2.0,2.0,PB
Jake Delhomme,30.0,CAR,QB,16.0,16.0,11-5-0,262.0,435.0,60.2,3421.0,24.0,5.5,16.0,3.7,156.0,44.3,80.0,7.9,7.31,13.1,213.8,88.1,28.0,214.0,6.05,6.93,6.41,3.0,3.0,PB
Jake Plummer,31.0,DEN,QB,16.0,16.0,13-3-0,277.0,456.0,60.7,3366.0,18.0,3.9,7.0,1.5,161.0,47.5,72.0,7.4,7.48,12.2,210.4,90.2,22.0,135.0,4.6,6.76,6.85,1.0,2.0,PB
Steve McNair,32.0,TEN,QB,14.0,14.0,4-10-0,292.0,476.0,61.3,3161.0,16.0,3.4,11.0,2.3,164.0,45.8,57.0,6.6,6.27,10.8,225.8,82.4,20.0,134.0,4.03,6.1,5.75,0.0,1.0,PB
Mark Brunell,35.0,WAS,QB,16.0,15.0,9-6-0,262.0,454.0,57.7,3050.0,23.0,5.1,10.0,2.2,155.0,42.8,78.0,6.7,6.74,11.6,190.6,85.9,27.0,213.0,5.61,5.9,5.92,2.0,3.0,AP CPoY-3
Gus Frerotte,34.0,MIA,QB,16.0,15.0,9-6-0,257.0,494.0,52.0,2996.0,18.0,3.6,13.0,2.6,141.0,40.8,60.0,6.1,5.61,11.7,187.3,71.9,26.0,158.0,5.0,5.46,5.03,0.0,1.0,
Aaron Brooks,29.0,NOR,QB,13.0,13.0,3-10-0,240.0,431.0,55.7,2882.0,13.0,3.0,17.0,3.9,145.0,42.0,66.0,6.7,5.52,12.0,221.7,70.0,33.0,202.0,7.11,5.78,4.69,1.0,2.0,
Kurt Warner,34.0,ARI,QB,10.0,10.0,2-8-0,242.0,375.0,64.5,2713.0,11.0,2.9,9.0,2.4,133.0,45.5,63.0,7.2,6.74,11.2,271.3,85.8,23.0,158.0,5.78,6.42,5.95,2.0,2.0,
Donovan McNabb,29.0,PHI,QB,9.0,9.0,4-5-0,211.0,357.0,59.1,2507.0,16.0,4.5,9.0,2.5,116.0,46.8,91.0,7.0,6.78,11.9,278.6,85.0,19.0,112.0,5.05,6.37,6.14,0.0,2.0,
David Carr,26.0,HOU,QB,16.0,16.0,2-14-0,256.0,423.0,60.5,2488.0,14.0,3.3,11.0,2.6,139.0,41.1,53.0,5.9,5.37,9.7,155.5,77.2,68.0,424.0,13.85,4.2,3.77,0.0,1.0,
Michael Vick,25.0,ATL,QB,15.0,15.0,8-7-0,214.0,387.0,55.3,2412.0,15.0,3.9,13.0,3.4,126.0,39.5,58.0,6.2,5.5,11.3,160.8,73.1,33.0,201.0,7.86,5.26,4.59,0.0,1.0,PB
Ben Roethlisberger,23.0,PIT,QB,12.0,12.0,9-3-0,168.0,268.0,62.7,2385.0,17.0,6.3,9.0,3.4,110.0,49.5,85.0,8.9,8.66,14.2,198.8,98.6,23.0,129.0,7.9,7.75,7.53,2.0,2.0,
Trent Dilfer,33.0,CLE,QB,11.0,11.0,4-7-0,199.0,333.0,59.8,2321.0,11.0,3.3,12.0,3.6,100.0,44.7,80.0,7.0,6.01,11.7,211.0,76.9,23.0,139.0,6.46,6.13,5.23,1.0,1.0,
Marc Bulger,28.0,STL,QB,8.0,8.0,2-6-0,192.0,287.0,66.9,2297.0,14.0,4.9,9.0,3.1,110.0,51.4,57.0,8.0,7.57,12.0,287.1,94.4,26.0,188.0,8.31,6.74,6.34,0.0,1.0,
Byron Leftwich,25.0,JAX,QB,11.0,11.0,8-3-0,175.0,302.0,57.9,2123.0,15.0,5.0,5.0,1.7,101.0,41.8,45.0,7.0,7.28,12.1,193.0,89.3,23.0,110.0,7.08,6.19,6.42,2.0,3.0,
Chris Simms,25.0,TAM,QB,11.0,10.0,6-4-0,191.0,313.0,61.0,2035.0,10.0,3.2,7.0,2.2,107.0,43.6,78.0,6.5,6.13,10.7,185.0,81.4,29.0,205.0,8.48,5.35,5.01,3.0,3.0,
Joey Harrington,27.0,DET,QB,12.0,11.0,4-7-0,188.0,330.0,57.0,2021.0,12.0,3.6,12.0,3.6,100.0,39.0,86.0,6.1,5.22,10.8,168.4,72.0,24.0,136.0,6.78,5.32,4.48,1.0,1.0,
Brad Johnson,37.0,MIN,QB,15.0,9.0,7-2-0,184.0,294.0,62.6,1885.0,12.0,4.1,4.0,1.4,93.0,40.7,80.0,6.4,6.62,10.2,125.7,88.9,23.0,134.0,7.26,5.52,5.71,0.0,2.0,
Kyle Orton,23.0,CHI,QB,15.0,15.0,10-5-0,190.0,368.0,51.6,1869.0,9.0,2.4,13.0,3.5,93.0,35.9,54.0,5.1,3.98,9.8,124.6,59.7,30.0,190.0,7.54,4.22,3.2,0.0,1.0,
Josh McCown,26.0,ARI,QB,9.0,6.0,3-3-0,163.0,270.0,60.4,1836.0,9.0,3.3,11.0,4.1,87.0,42.4,49.0,6.8,5.63,11.3,204.0,74.9,18.0,101.0,6.25,6.02,4.93,0.0,0.0,
Kyle Boller,24.0,BAL,QB,9.0,9.0,4-5-0,171.0,293.0,58.4,1799.0,11.0,3.8,12.0,4.1,86.0,40.8,47.0,6.1,5.05,10.5,199.9,71.8,23.0,146.0,7.28,5.23,4.22,2.0,3.0,
Anthony Wright,29.0,BAL,QB,9.0,7.0,2-5-0,164.0,266.0,61.7,1582.0,6.0,2.3,9.0,3.4,78.0,36.8,48.0,5.9,4.88,9.6,175.8,71.7,19.0,147.0,6.67,5.04,4.04,0.0,0.0,
Daunte Culpepper,28.0,MIN,QB,7.0,7.0,2-5-0,139.0,216.0,64.4,1564.0,6.0,2.8,12.0,5.6,80.0,42.9,68.0,7.2,5.3,11.3,223.4,72.0,31.0,169.0,12.55,5.65,3.95,1.0,1.0,
Brooks Bollinger,26.0,NYJ,QB,11.0,9.0,2-7-0,150.0,266.0,56.4,1558.0,7.0,2.6,6.0,2.3,78.0,38.6,60.0,5.9,5.37,10.4,141.6,72.9,32.0,193.0,10.74,4.58,4.14,1.0,0.0,
Kelly Holcomb,32.0,BUF,QB,10.0,8.0,4-4-0,155.0,230.0,67.4,1509.0,10.0,4.3,8.0,3.5,74.0,45.3,65.0,6.6,5.87,9.7,150.9,85.6,17.0,140.0,6.88,5.54,4.89,1.0,1.0,
J.P. Losman,24.0,BUF,QB,9.0,8.0,1-7-0,113.0,228.0,49.6,1340.0,8.0,3.5,8.0,3.5,55.0,33.9,58.0,5.9,5.0,11.9,148.9,64.9,26.0,197.0,10.24,4.5,3.71,0.0,0.0,
Jamie Martin,35.0,STL,QB,8.0,5.0,4-1-0,124.0,177.0,70.1,1277.0,5.0,2.8,7.0,4.0,59.0,45.2,83.0,7.2,6.0,10.3,159.6,83.5,11.0,78.0,5.85,6.38,5.23,2.0,3.0,
Mike McMahon,26.0,PHI,QB,9.0,7.0,2-5-0,94.0,207.0,45.4,1158.0,5.0,2.4,8.0,3.9,56.0,31.9,48.0,5.6,4.34,12.3,128.7,55.2,19.0,96.0,8.41,4.7,3.55,2.0,2.0,
Brian Griese,30.0,TAM,QB,6.0,6.0,5-1-0,112.0,174.0,64.4,1136.0,7.0,4.0,7.0,4.0,54.0,41.9,80.0,6.5,5.52,10.1,189.3,79.6,12.0,76.0,6.45,5.7,4.76,0.0,0.0,
David Garrard,27.0,JAX,QB,7.0,5.0,4-1-0,98.0,168.0,58.3,1117.0,4.0,2.4,1.0,0.6,64.0,47.2,37.0,6.6,6.86,11.4,159.6,83.9,8.0,45.0,4.55,6.09,6.29,2.0,2.0,
Charlie Frye,24.0,CLE,QB,7.0,5.0,2-3-0,98.0,164.0,59.8,1002.0,4.0,2.4,5.0,3.0,49.0,41.4,45.0,6.1,5.23,10.2,143.1,72.8,22.0,135.0,11.83,4.66,3.88,1.0,1.0,
Jeff Garcia,35.0,DET,QB,6.0,5.0,1-4-0,102.0,173.0,59.0,937.0,3.0,1.7,6.0,3.5,46.0,39.1,49.0,5.4,4.2,9.2,156.2,65.1,6.0,34.0,3.35,5.04,3.87,0.0,1.0,
Alex Smith,21.0,SFO,QB,9.0,7.0,2-5-0,84.0,165.0,50.9,875.0,1.0,0.6,11.0,6.7,37.0,27.8,47.0,5.3,2.42,10.4,97.2,40.8,29.0,185.0,14.95,3.56,1.11,1.0,2.0,
Ryan Fitzpatrick,23.0,STL,QB,4.0,3.0,0-3-0,76.0,135.0,56.3,777.0,4.0,3.0,8.0,5.9,40.0,38.9,56.0,5.8,3.68,10.2,194.3,58.2,9.0,49.0,6.25,5.06,3.11,1.0,1.0,
Vinny Testaverde,42.0,NYJ,QB,6.0,4.0,1-3-0,60.0,106.0,56.6,777.0,1.0,0.9,6.0,5.7,35.0,39.0,47.0,7.3,4.97,13.0,129.5,59.4,12.0,102.0,10.17,5.72,3.6,0.0,0.0,
Todd Bouman,33.0,NOR,QB,16.0,3.0,0-3-0,68.0,122.0,55.7,722.0,2.0,1.6,7.0,5.7,38.0,41.5,43.0,5.9,3.66,10.6,45.1,54.7,8.0,59.0,6.15,5.1,2.98,0.0,0.0,
Tim Rattay,28.0,SFO,QB,4.0,4.0,1-3-0,56.0,97.0,57.7,667.0,5.0,5.2,6.0,6.2,32.0,42.1,89.0,6.9,5.12,11.9,166.8,70.3,10.0,63.0,9.35,5.64,4.06,0.0,0.0,
