Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Drew Brees,27,NOR,QB,16,16,10-6-0,356,554,64.3,4418,26,4.7,11,2.0,202,50.0,86,8.0,8.02,12.4,276.1,96.2,66.7,18,105,3.15,7.54,7.58,1,2,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2"
Peyton Manning,30,IND,QB,16,16,12-4-0,362,557,65.0,4397,31,5.6,9,1.6,242,56.6,68,7.9,8.28,12.1,274.8,101.0,86.4,14,86,2.45,7.55,7.93,3,3,"PB,AP-2,AP MVP-3,AP OPoY-3"
Marc Bulger,29,STL,QB,16,16,8-8-0,370,588,62.9,4301,24,4.1,8,1.4,210,46.2,67,7.3,7.52,11.6,268.8,92.9,59.4,49,366,7.69,6.18,6.37,2,3,PB
Jon Kitna,34,DET,QB,16,16,3-13-0,372,596,62.4,4208,21,3.5,22,3.7,209,46.0,60,7.1,6.10,11.3,263.0,79.9,45.3,63,388,9.56,5.80,4.93,1,1,
Carson Palmer,27,CIN,QB,16,16,8-8-0,324,520,62.3,4035,28,5.4,13,2.5,200,48.2,74,7.8,7.71,12.5,252.2,93.9,67.1,36,233,6.47,6.84,6.79,2,3,"PB,AP CPoY-3"
Brett Favre,37,GNB,QB,16,16,8-8-0,343,613,56.0,3885,18,2.9,18,2.9,183,42.3,82,6.3,5.60,11.3,242.8,72.7,45.5,21,134,3.31,5.92,5.21,1,1,
Tom Brady,29,NWE,QB,16,16,12-4-0,319,516,61.8,3529,24,4.7,12,2.3,176,47.4,62,6.8,6.72,11.1,220.6,87.9,68.6,26,175,4.80,6.19,6.08,2,2,
Ben Roethlisberger,24,PIT,QB,15,15,7-8-0,280,469,59.7,3513,18,3.8,23,4.9,178,44.5,67,7.5,6.05,12.5,234.2,75.4,58.0,46,280,8.93,6.28,4.97,2,3,
Philip Rivers,25,SDG,QB,16,16,14-2-0,284,460,61.7,3388,22,4.8,9,2.0,167,46.8,57,7.4,7.44,11.9,211.8,92.0,67.4,27,144,5.54,6.66,6.73,4,4,PB
Chad Pennington,30,NYJ,QB,16,16,10-6-0,313,485,64.5,3352,17,3.5,16,3.3,163,47.4,71,6.9,6.13,10.7,209.5,82.6,64.2,30,172,5.83,6.17,5.44,1,2,AP CPoY-1
Eli Manning,25,NYG,QB,16,16,8-8-0,301,522,57.7,3244,24,4.6,18,3.4,162,44.4,55,6.2,5.58,10.8,202.8,77.0,48.6,25,186,4.57,5.59,4.99,2,2,
Rex Grossman,26,CHI,QB,16,16,13-3-0,262,480,54.6,3193,23,4.8,20,4.2,151,40.3,62,6.7,5.74,12.2,199.6,73.9,48.9,21,142,4.19,6.09,5.21,1,2,
J.P. Losman,25,BUF,QB,16,16,7-9-0,268,429,62.5,3051,19,4.4,14,3.3,134,42.9,83,7.1,6.53,11.4,190.7,84.9,49.5,47,332,9.87,5.71,5.19,1,3,
Steve McNair,33,BAL,QB,16,16,13-3-0,295,468,63.0,3050,16,3.4,12,2.6,159,45.2,87,6.5,6.05,10.3,190.6,82.5,66.0,14,84,2.90,6.15,5.70,3,3,
Tony Romo,26,DAL,QB,16,10,6-4-0,220,337,65.3,2903,19,5.6,13,3.9,144,53.1,56,8.6,8.01,13.2,181.4,95.1,63.5,21,124,5.87,7.76,7.19,2,3,PB
Alex Smith,22,SFO,QB,16,16,7-9-0,257,442,58.1,2890,16,3.6,16,3.6,132,39.4,75,6.5,5.63,11.2,180.6,74.8,44.4,35,202,7.34,5.64,4.80,1,2,
Jake Delhomme,31,CAR,QB,13,13,7-6-0,263,431,61.0,2805,17,3.9,11,2.6,129,44.2,72,6.5,6.15,10.7,215.8,82.6,43.0,22,167,4.86,5.82,5.48,2,2,
David Carr,27,HOU,QB,16,16,6-10-0,302,442,68.3,2767,11,2.5,12,2.7,142,44.3,53,6.3,5.54,9.2,172.9,82.1,45.8,41,240,8.49,5.23,4.57,1,3,
Brad Johnson,38,MIN,QB,15,14,6-8-0,270,439,61.5,2750,9,2.1,15,3.4,135,40.6,46,6.3,5.14,10.2,183.3,72.0,39.7,29,200,6.20,5.45,4.39,2,3,
Donovan McNabb,30,PHI,QB,10,10,5-5-0,180,316,57.0,2647,18,5.7,6,1.9,112,44.8,87,8.4,8.66,14.7,264.7,95.5,62.1,21,140,6.23,7.44,7.71,0,1,
Matt Leinart,23,ARI,QB,12,11,4-7-0,214,377,56.8,2547,11,2.9,12,3.2,125,43.2,58,6.8,5.91,11.9,212.3,74.0,60.5,21,158,5.28,6.00,5.20,1,1,
Michael Vick,26,ATL,QB,16,16,7-9-0,204,388,52.6,2474,20,5.2,13,3.4,122,37.9,55,6.4,5.90,12.1,154.6,75.7,49.3,45,303,10.39,5.01,4.59,0,1,
Charlie Frye,25,CLE,QB,13,13,4-9-0,252,393,64.1,2454,10,2.5,17,4.3,115,41.0,75,6.2,4.81,9.7,188.8,72.0,42.1,44,262,10.07,5.02,3.72,0,0,
Matt Hasselbeck,31,SEA,QB,12,12,7-5-0,210,371,56.6,2442,18,4.9,15,4.0,128,42.2,72,6.6,5.73,11.6,203.5,76.0,56.9,34,229,8.40,5.46,4.69,3,4,
Joey Harrington,28,MIA,QB,11,11,5-6-0,223,388,57.5,2236,12,3.1,15,3.9,115,41.9,48,5.8,4.64,10.0,203.3,68.2,51.0,15,116,3.72,5.26,4.18,0,0,
Vince Young,23,TEN,QB,15,13,8-5-0,184,357,51.5,2199,12,3.4,13,3.6,107,35.3,53,6.2,5.19,12.0,146.6,66.7,56.1,25,129,6.54,5.42,4.52,4,5,"PB,AP ORoY-1"
Jake Plummer,32,DEN,QB,16,11,7-4-0,175,317,55.2,1994,11,3.5,13,4.1,102,40.6,83,6.3,5.14,11.4,124.6,68.8,49.2,18,111,5.37,5.62,4.53,2,3,
Damon Huard,33,KAN,QB,10,8,5-3-0,148,244,60.7,1878,11,4.5,1,0.4,104,43.8,78,7.7,8.41,12.7,187.8,98.0,54.7,16,106,6.15,6.82,7.49,2,3,
