Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Larry Swider,STL,25,P,16,0,99,4111,41.5,645,3166,31.7,66,15,15.2%,12,12.1%,1
Dave Jennings*+,NYG,28,P,16,0,94,4211,44.8,506,3445,36.6,63,13,13.8%,16,17.0%,0
Russell Erxleben,NOR,23,P,16,0,89,3499,39.3,490,2949,33.1,57,3,3.4%,23,25.8%,0
Tom Blanchard,TAM,32,P,16,0,88,3722,42.3,529,2953,33.2,62,12,13.6%,18,20.5%,1
David Beverly,GNB,30,P,16,0,86,3294,38.3,342,2832,32.9,55,6,7.0%,17,19.8%,0
Mike Connell,WAS,24,P,16,0,85,3331,39.2,351,2840,33.4,57,7,8.2%,11,12.9%,0
Bob Grupp,KAN,25,P,16,0,84,3317,39.5,289,2868,33.7,57,8,9.5%,23,27.4%,1
Pat McInally,CIN,27,WR,16,6,83,3390,40.8,476,2674,31.5,61,12,14.5%,21,25.3%,2
Mike Bragg,BAL,34,P,16,0,82,3203,39.1,357,2726,32.5,59,6,7.3%,22,26.8%,2
Greg Coleman,MIN,26,P,16,0,81,3139,38.8,259,2700,33.3,65,9,11.1%,20,24.7%,0
John James,ATL,31,P,16,0,79,3087,39.1,240,2707,34.3,59,7,8.9%,25,31.6%,0
Bob Parsons,CHI,30,P,16,0,79,3207,40.6,415,2592,32.8,61,10,12.7%,16,20.3%,0
Jim Miller,SFO,23,P,16,0,77,3152,40.9,530,2522,32.8,65,5,6.5%,11,14.3%,0
George Roberts,MIA,25,P,16,0,77,3279,42.6,339,2780,35.2,71,8,10.4%,18,23.4%,2
Frank Corral,RAM,25,K,16,0,76,3002,39.5,353,2549,33.1,65,5,6.6%,14,18.4%,1
Max Runager,PHI,24,P,16,0,75,2947,39.3,224,2563,33.7,58,8,10.7%,16,21.3%,1
Greg Cater,BUF,23,P,16,0,73,2828,38.7,204,2304,31.1,61,16,21.9%,12,16.4%,1
Chuck Ramsey,NYJ,28,P,16,0,73,3096,42.4,369,2527,34.1,59,10,13.7%,15,20.5%,1
Tom Skladany,DET,25,P,16,0,72,3036,42.2,300,2576,35.3,67,8,11.1%,16,22.2%,1
Ray Guy*,OAK,31,P,16,0,71,3099,43.6,268,2551,35.9,77,14,19.7%,18,25.4%,0
Danny White,DAL,28,QB,16,16,71,2903,40.9,215,2468,34.8,58,11,15.5%,17,23.9%,0
Luke Prestridge,DEN,24,P,16,0,70,3075,43.9,443,2512,35.9,57,6,8.6%,10,14.3%,0
Cliff Parsley,HOU,26,P,16,0,67,2727,40.7,394,2173,32.4,57,8,11.9%,20,29.9%,0
Herman Weaver,SEA,32,P,16,0,67,2798,41.8,476,2202,31.9,69,6,9.0%,14,20.9%,2
Johnny Evans,CLE,24,P,16,0,66,2530,38.3,245,2145,32.5,56,7,10.6%,12,18.2%,0
Mike Hubach,NWE,22,P,16,0,63,2392,38.0,237,2115,33.6,69,2,3.2%,12,19.0%,0
Craig Colquitt,PIT,26,P,16,0,61,2483,40.7,217,2166,35.5,54,5,8.2%,13,21.3%,0
Rick Partridge,SDG,23,P,16,0,60,2347,39.1,359,1928,31.6,55,3,5.0%,10,16.7%,1
Terry Bradshaw,PIT,32,QB,15,15,5,173,34.6,0,173,34.6,44,0,0.0%,0,0.0%,0
Jim Breech,CIN,24,K,4,0,2,67,33.5,2,45,22.5,37,1,50.0%,1,50.0%,0
Efren Herrera,SEA,29,K,16,0,1,29,29.0,0,29,29.0,29,0,0.0%,1,100.0%,0
Chester Marcol,2TM,31,K,6,0,1,33,33.0,0,13,13.0,33,1,100.0%,0,0.0%,0
