Player,Age,Team,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,Awards
Dwight Clark,25,SFO,9,8,60,913,15.2,5,51,6.7,101.4,1,"PB,AP-1"
Kellen Winslow,25,SDG,9,9,54,721,13.4,6,40,6.0,80.1,1,"PB,AP-1,AP OPoY-6"
James Wilder,24,TAM,9,9,53,466,8.8,1,32,5.9,51.8,5,
Wes Chandler,26,SDG,8,8,49,1032,21.1,9,66,6.1,129.0,0,"PB,AP-1,AP OPoY-4"
Cris Collinsworth,23,CIN,9,9,49,700,14.3,1,50,5.4,77.8,1,"PB,AP-2"
Ozzie Newsome,26,CLE,9,9,49,633,12.9,3,54,5.4,70.3,0,
Dan Ross,25,CIN,9,9,47,508,10.8,3,28,5.2,56.4,1,"PB,AP-2"
William Andrews,27,ATL,9,9,42,503,12.0,2,86,4.7,55.9,1,"PB,AP-2"
Todd Christensen,26,RAI,9,9,42,510,12.1,4,50,4.7,56.7,3,
Henry Marshall,28,KAN,9,9,40,549,13.7,3,44,4.4,61.0,0,
Wesley Walker,27,NYJ,9,9,39,620,15.9,6,56,4.3,68.9,0,PB
Marcus Allen,22,RAI,9,9,38,401,10.6,3,51,4.2,44.6,5,"PB,AP-1,AP MVP-3,AP OPoY-2,AP ORoY-1"
Wendell Tyler,27,RAM,9,9,38,375,9.9,4,40,4.2,41.7,10,
Jeff Moore,26,SFO,9,4,37,405,10.9,4,55,4.1,45.0,4,
Rick Parros,24,DEN,9,9,37,259,7.0,2,24,4.1,28.8,3,
Dave Casper,30,HOU,9,9,36,573,15.9,6,38,4.0,63.7,1,
Charlie Joiner,35,SDG,9,9,36,545,15.1,0,43,4.0,60.6,1,
Matt Suhey,24,CHI,9,8,36,333,9.3,0,45,4.0,37.0,2,
Pat Tilley,29,STL,9,8,36,465,12.9,2,34,4.0,51.7,0,
Steve Watson,25,DEN,9,9,36,555,15.4,2,41,4.0,61.7,1,
Harold Carmichael,33,PHI,9,8,35,540,15.4,4,46,3.9,60.0,3,
Tony Hill,26,DAL,9,8,35,526,15.0,1,47,3.9,58.4,0,
James Lofton,26,GNB,9,9,35,696,19.9,4,80,3.9,77.3,0,"PB,AP-2"
Art Monk,25,WAS,9,9,35,447,12.8,1,43,3.9,49.7,3,
Steve Largent,28,SEA,8,8,34,493,14.5,3,45,4.3,61.6,0,
Billy Sims,27,DET,9,8,34,342,10.1,0,52,3.8,38.0,7,PB
Ron Smith,26,PHI,9,9,34,475,14.0,1,41,3.8,52.8,1,
Charles White,24,CLE,9,9,34,283,8.3,0,36,3.8,31.4,2,
Charlie Brown,24,WAS,9,9,32,690,21.6,8,78,3.6,76.7,1,PB
Roy Green,25,STL,9,9,32,453,14.2,3,42,3.6,50.3,1,
Walter Payton,29,CHI,9,9,32,311,9.7,0,40,3.6,34.6,3,
Ted Brown,25,MIN,8,8,31,207,6.7,2,29,3.9,25.9,0,
Mike Guman,24,RAM,9,9,31,310,10.0,0,46,3.4,34.4,3,
Franco Harris,32,PIT,9,9,31,249,8.0,0,20,3.4,27.7,1,
Pete Johnson,28,CIN,9,9,31,267,8.6,0,25,3.4,29.7,1,
Cliff Branch,34,RAI,9,9,30,575,19.2,4,51,3.3,63.9,0,
Doug Cosbie,26,DAL,9,9,30,441,14.7,4,45,3.3,49.0,0,
Jeff Groth,25,NOR,9,9,30,383,12.8,1,39,3.3,42.6,1,
Emery Moorehead,28,CHI,9,9,30,363,12.1,5,50,3.3,40.3,0,
Joe Senser,26,MIN,9,9,29,261,9.0,1,22,3.2,29.0,0,
Sammy White,28,MIN,7,6,29,503,17.3,5,65,4.1,71.9,0,
Ricky Feacher,28,CLE,9,9,28,408,14.6,3,46,3.1,45.3,0,
Jimmie Giles,28,TAM,9,9,28,499,17.8,3,48,3.1,55.4,2,PB
Kevin House,25,TAM,9,9,28,438,15.6,2,62,3.1,48.7,1,
Frank Lewis,35,BUF,8,8,28,443,15.8,2,39,3.5,55.4,0,
Stanley Morgan,27,NWE,9,9,28,584,20.9,3,75,3.1,64.9,0,
Carlos Carson,24,KAN,9,7,27,494,18.3,2,51,3.0,54.9,1,
John Jefferson,26,GNB,8,8,27,452,16.7,0,50,3.4,56.5,0,PB
Tom Mullady,25,NYG,9,9,27,287,10.6,0,32,3.0,31.9,1,
John Stallworth,30,PIT,9,9,27,441,16.3,7,74,3.0,49.0,2,PB
Don Warren,26,WAS,9,9,27,310,11.5,0,29,3.0,34.4,0,
