Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Wes Welker,28.0,NWE,14.0,13.0,162.0,123.0,1348.0,11.0,4.0,71.0,66.0,58.0,8.8,96.3,75.9,8.3,2.0,"PB,AP-1"
Steve Smith,24.0,NYG,16.0,15.0,157.0,107.0,1220.0,11.4,7.0,62.0,58.0,51.0,6.7,76.3,68.2,7.8,0.0,PB
Andre Johnson,28.0,HOU,16.0,16.0,171.0,101.0,1569.0,15.5,9.0,70.0,49.1,72.0,6.3,98.1,59.1,9.2,1.0,"PB,AP-1"
Brandon Marshall,25.0,DEN,15.0,13.0,154.0,101.0,1120.0,11.1,10.0,55.0,45.5,75.0,6.7,74.7,65.6,7.3,0.0,PB
Dallas Clark,30.0,IND,16.0,16.0,133.0,100.0,1106.0,11.1,10.0,61.0,60.9,80.0,6.3,69.1,75.2,8.3,1.0,"PB,AP-1"
Reggie Wayne,31.0,IND,16.0,16.0,149.0,100.0,1264.0,12.6,10.0,73.0,59.1,65.0,6.3,79.0,67.1,8.5,0.0,"PB,AP-2"
Larry Fitzgerald,26.0,ARI,16.0,16.0,153.0,97.0,1092.0,11.3,13.0,68.0,53.6,34.0,6.1,68.3,63.4,7.1,0.0,"PB,AP-2"
Hines Ward,33.0,PIT,16.0,16.0,137.0,95.0,1167.0,12.3,6.0,56.0,57.7,54.0,5.9,72.9,69.3,8.5,2.0,
Jason Witten,27.0,DAL,16.0,16.0,124.0,94.0,1030.0,11.0,2.0,49.0,58.9,69.0,5.9,64.4,75.8,8.3,0.0,PB
Roddy White,28.0,ATL,16.0,16.0,165.0,85.0,1153.0,13.6,11.0,54.0,43.0,90.0,5.3,72.1,51.5,7.0,1.0,PB
Anquan Boldin,29.0,ARI,15.0,15.0,127.0,84.0,1024.0,12.2,4.0,49.0,55.9,44.0,5.6,68.3,66.1,8.1,3.0,
Tony Gonzalez,33.0,ATL,16.0,16.0,134.0,83.0,867.0,10.4,6.0,55.0,54.5,27.0,5.2,54.2,61.9,6.5,0.0,
Randy Moss,32.0,NWE,16.0,16.0,137.0,83.0,1264.0,15.2,13.0,62.0,57.7,71.0,5.2,79.0,60.6,9.2,2.0,
Sidney Rice,23.0,MIN,16.0,14.0,121.0,83.0,1312.0,15.8,8.0,60.0,63.6,63.0,5.2,82.0,68.6,10.8,1.0,PB
Miles Austin,25.0,DAL,16.0,9.0,124.0,81.0,1320.0,16.3,11.0,58.0,55.6,60.0,5.1,82.5,65.3,10.6,1.0,PB
Antonio Gates,29.0,SDG,16.0,16.0,114.0,79.0,1157.0,14.6,8.0,61.0,62.3,56.0,4.9,72.3,69.3,10.1,1.0,"PB,AP-2"
Santonio Holmes,25.0,PIT,16.0,16.0,138.0,79.0,1248.0,15.8,5.0,62.0,54.3,57.0,4.9,78.0,57.2,9.0,0.0,
T.J. Houshmandzadeh,32.0,SEA,16.0,16.0,135.0,79.0,911.0,11.5,3.0,52.0,50.4,53.0,4.9,56.9,58.5,6.7,2.0,
Vernon Davis,25.0,SFO,16.0,16.0,128.0,78.0,965.0,12.4,13.0,38.0,46.1,73.0,4.9,60.3,60.9,7.5,0.0,PB
Ray Rice,22.0,BAL,16.0,15.0,101.0,78.0,702.0,9.0,1.0,27.0,46.5,63.0,4.9,43.9,77.2,7.0,3.0,"PB,AP-2"
Kellen Winslow,26.0,TAM,16.0,14.0,127.0,77.0,884.0,11.5,5.0,46.0,48.0,42.0,4.8,55.3,60.6,7.0,0.0,
Davone Bess,24.0,MIA,16.0,2.0,113.0,76.0,758.0,10.0,2.0,48.0,53.1,34.0,4.8,47.4,67.3,6.7,6.0,
Brent Celek,24.0,PHI,16.0,15.0,112.0,76.0,971.0,12.8,8.0,39.0,50.9,47.0,4.8,60.7,67.9,8.7,0.0,
Heath Miller,27.0,PIT,16.0,16.0,98.0,76.0,789.0,10.4,6.0,37.0,60.2,41.0,4.8,49.3,77.6,8.1,2.0,PB
