Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Tavon Austin,LAR,26,WR,15,15,44.0,336.0,0,47.0,7.6,1.0,5.0,0,5.0,5.0,1009
Tyreek Hill*+,KAN,22,WR,16,1,39.0,592.0,2,95.0,15.2,14.0,384.0,1,86.0,27.4,1836
Jalen Richard,OAK,23,RB,16,0,34.0,306.0,0,47.0,9.0,17.0,402.0,0,50.0,23.6,1391
Marc Mariani,TEN,29,WR,16,0,29.0,235.0,0,18.0,8.1,26.0,560.0,0,37.0,21.5,810
Tyler Lockett,SEA,24,WR,15,9,29.0,243.0,0,62.0,8.4,23.0,606.0,0,46.0,26.3,1560
Dwayne Harris*,NYG,29,WR,16,1,29.0,170.0,0,17.0,5.9,22.0,533.0,0,46.0,24.2,716
Ted Ginn Jr.,CAR,31,WR,16,8,29.0,202.0,0,19.0,7.0,18.0,391.0,0,59.0,21.7,1443
Alex Erickson,CIN,24,WR,16,0,28.0,195.0,0,24.0,7.0,29.0,810.0,0,84.0,27.9,1076
Tyler Ervin,HOU,23,RB,12,0,27.0,261.0,0,57.0,9.7,14.0,263.0,0,33.0,18.8,545
Jamison Crowder,WAS,23,WR,16,9,27.0,328.0,1,85.0,12.1,,,0,,,1173
Brandon Tate,BUF,29,WR,15,1,26.0,301.0,0,43.0,11.6,29.0,662.0,0,45.0,22.8,1128
Devin Hester,2TM,34,WR,12,0,25.0,180.0,0,28.0,7.2,19.0,466.0,0,60.0,24.5,646
Lucky Whitehead,DAL,24,WR,15,1,25.0,195.0,0,39.0,7.8,17.0,394.0,0,33.0,23.2,719
Jordan Norwood,DEN,30,WR,14,6,25.0,204.0,0,17.0,8.2,3.0,65.0,0,27.0,21.7,501
Eric Weems,ATL,31,WR,16,0,24.0,273.0,0,73.0,11.4,17.0,391.0,0,42.0,23.0,664
Adam Humphries,TAM,23,WR,15,4,24.0,237.0,0,25.0,9.9,4.0,47.0,0,17.0,11.8,924
Jeremy Kerley,SFO,28,WR,16,13,21.0,158.0,0,26.0,7.5,2.0,32.0,0,20.0,16.0,857
Marcus Sherels,MIN,29,DB,11,0,21.0,292.0,2,79.0,13.9,2.0,35.0,0,18.0,17.5,327
Rashad Greene,JAX,24,WR,8,0,21.0,131.0,0,42.0,6.2,,,0,,,163
Andre Roberts,DET,28,WR,16,1,20.0,246.0,2,85.0,12.3,33.0,747.0,0,42.0,22.6,1181
Jakeem Grant,MIA,24,WR,16,0,20.0,165.0,1,74.0,8.3,19.0,439.0,0,45.0,23.1,605
Eddie Royal,CHI,30,WR,9,1,19.0,166.0,1,65.0,8.7,,,0,,,535
Jalin Marshall,NYJ,21,WR,10,1,18.0,100.0,0,19.0,5.6,13.0,324.0,0,65.0,24.9,586
Danny Amendola,NWE,31,WR,12,4,18.0,121.0,0,30.0,6.7,5.0,129.0,0,73.0,25.8,493
