Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Brandon Powell,MIN,28,WR,17,2,37,289,0,25,7.8,,,0,,,630
Ihmir Smith-Marsette,CAR,24,WR,17,0,37,322,1,79,8.7,,,0,,,447
Jamison Crowder,WAS,30,WR,17,0,35,278,0,61,7.9,,,0,,,439
Xavier Gipson,NYJ,22,WR,17,3,33,319,1,65,9.7,22,511,0,34,23.2,1127
Greg Dortch,ARI,25,WR,16,4,29,275,0,49,9.5,17,360,0,40,21.2,917
Britain Covey,PHI,26,WR,16,0,29,417,0,54,14.4,1,30,0,30,30.0,489
Calvin Austin III,PIT,24,WR,17,1,29,249,0,34,8.6,,,0,,,486
Kalif Raymond,DET,29,WR,17,3,29,331,0,42,11.4,,,0,,,895
Deonte Harty,BUF,26,WR,16,1,26,323,1,96,12.4,1,7,0,7,7.0,480
Rashid Shaheed*+,NOR,25,WR,15,8,25,339,1,76,13.6,18,384,0,28,21.3,1479
DeeJay Dallas,SEA,25,RB,17,0,25,265,0,32,10.6,17,440,0,34,25.9,767
Deven Thompkins,TAM,24,WR,17,1,25,234,0,51,9.4,16,327,0,32,20.4,700
Austin Trammell,LAR,25,WR,16,0,25,183,0,29,7.3,6,101,0,36,16.8,313
Derius Davis,LAC,23,WR,17,2,24,385,1,87,16.0,17,374,0,46,22.0,926
DeAndre Carter,LVR,30,WR,17,1,24,232,0,32,9.7,11,262,0,40,23.8,551
Ray-Ray McCloud,SFO,27,WR,12,1,24,203,0,19,8.5,10,225,0,34,22.5,593
Gunner Olszewski,2TM,27,WR,12,0,24,281,1,94,11.7,2,24,0,24,12.0,305
Braxton Berrios,MIA,28,WR,16,1,23,235,0,19,10.2,18,441,0,33,24.5,925
Devin Duvernay,BAL,26,WR,13,1,23,290,0,70,12.6,9,174,0,28,19.3,497
Isaiah McKenzie,IND,28,WR,13,2,23,204,0,32,8.9,6,152,0,42,25.3,452
Charlie Jones,CIN,25,WR,11,0,23,248,1,81,10.8,,,0,,,325
Trent Taylor,CHI,29,WR,17,0,23,188,0,31,8.2,,,0,,,186
James Proche,CLE,27,WR,10,1,22,197,0,21,9.0,1,19,0,19,19.0,216
Eric Garror,TEN,23,DB,12,4,21,159,0,15,7.6,,,0,,,159
Richie James,KAN,28,WR,9,1,20,200,0,27,10.0,9,187,0,31,20.8,501
DeAundre Alford,ATL,26,CB,16,5,20,160,0,23,8.0,2,13,0,8,6.5,173
Marvin Mims*,DEN,21,WR,16,7,19,312,0,52,16.4,15,397,1,99,26.5,1116
Myles Bryant,NWE,25,DB,17,9,15,105,0,15,7.0,1,11,0,11,11.0,122
Keisean Nixon+,GNB,26,CB,17,13,14,95,0,34,6.8,30,782,0,51,26.1,890
Jamal Agnew,JAX,28,WR,11,1,14,144,0,48,10.3,15,391,0,53,26.1,758
KaVontae Turpin,DAL,27,WR,16,0,13,79,0,15,6.1,10,292,0,63,29.2,608
Donovan Peoples-Jones,2TM,24,WR,15,6,13,84,0,13,6.5,,,0,,,239
Parker Washington,JAX,21,WR,9,1,12,126,0,26,10.5,2,51,0,33,25.5,308
Mike Hughes,ATL,26,CB,15,4,11,67,0,16,6.1,3,46,0,19,15.3,113
Tank Dell,HOU,24,WR,11,8,11,100,0,20,9.1,2,44,0,23,22.0,904
Demario Douglas,NWE,23,WR,14,7,11,56,0,25,5.1,,,0,,,658
Mason Kinsey,TEN,25,WR,6,0,11,100,0,21,9.1,,,0,,,106
Jayden Reed,GNB,23,WR,16,13,11,94,0,35,8.5,,,0,,,1006
Ronnie Bell,SFO,23,WR,17,0,10,70,0,17,7.0,1,0,0,0,0.0,146
Trenton Irwin,CIN,28,WR,16,5,10,98,0,28,9.8,1,8,0,8,8.0,422
Desmond King,2TM,29,CB-DB,10,3,8,101,0,22,12.6,5,111,0,27,22.2,212
Montrell Washington,KAN,24,WR,6,0,8,61,0,23,7.6,1,20,0,20,20.0,81
Eric Gray,NYG,24,RB,13,0,7,28,0,14,4.0,4,58,0,20,14.5,156
Lynn Bowden Jr.,NOR,26,WR,15,3,7,53,0,16,7.6,3,64,0,28,21.3,232
Mecole Hardman,2TM,25,WR,11,2,7,61,0,50,8.7,1,14,0,14,14.0,202
Robert Woods,HOU,31,WR,14,11,7,42,0,12,6.0,,,0,,,475
Josh Downs,IND,22,WR,17,9,6,63,0,14,10.5,2,24,0,17,12.0,858
Tylan Wallace,BAL,24,WR,11,0,6,127,1,76,21.2,1,26,0,26,26.0,164
Kearis Jackson,TEN,24,WR,2,0,6,48,0,14,8.0,,,0,,,48
Kadarius Toney,KAN,24,WR,13,2,6,58,0,21,9.7,,,0,,,258
Khalil Shakir,BUF,23,WR,17,10,5,37,0,10,7.4,5,98,0,27,19.6,756
Steven Sims,HOU,26,WR,3,0,4,49,0,18,12.3,3,71,0,29,23.7,146
Jaelon Darden,CLE,24,WR,1,0,4,39,0,11,9.8,2,42,0,23,21.0,81
Kyle Philips,TEN,24,WR,9,0,4,23,0,12,5.8,1,13,0,13,13.0,217
Jabrill Peppers,NWE,28,DB,15,15,4,26,0,18,6.5,,,0,,,60
Deuce Vaughn,DAL,22,RB,7,0,4,19,0,11,4.8,,,0,,,99
Cedrick Wilson Jr.,MIA,28,WR,15,3,4,30,0,14,7.5,,,0,,,326
Kyren Williams*,LAR,23,RB,12,11,3,21,0,11,7.0,1,8,0,8,8.0,1379
Marcus Jones,NWE,25,DB,2,1,3,21,0,21,7.0,,,0,,,21
Sterling Shepard,NYG,30,WR,15,2,3,10,0,5,3.3,,,0,,,73
Christian Kirk,JAX,27,WR,12,12,2,27,0,15,13.5,,,0,,,820
Elijah Moore,CLE,23,WR,17,12,2,23,0,13,11.5,,,0,,,665
Scott Miller,ATL,26,WR,17,0,1,4,0,4,4.0,1,14,0,14,14.0,179
Curtis Bolton,LVR,28,LB,13,0,1,17,0,17,17.0,,,0,,,17
Tevaughn Campbell,JAX,30,CB,2,0,1,0,0,0,0.0,,,0,,,0
