Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
George Rogers,23,NOR,16,16,378,1674,13,79,4.4,104.6,23.6,13,"PB,AP-1,AP MVP-6,AP OPoY-4,AP ORoY-1"
Earl Campbell,26,HOU,16,16,361,1376,10,43,3.8,86.0,22.6,10,PB
Tony Dorsett,27,DAL,16,16,342,1646,4,75,4.8,102.9,21.4,10,"PB,AP-1,AP MVP-3,AP OPoY-2"
Walter Payton,28,CHI,16,16,339,1222,6,39,3.6,76.4,21.2,9,
Ottis Anderson,24,STL,16,16,328,1376,9,28,4.2,86.0,20.5,13,
Billy Sims,26,DET,14,14,296,1437,13,51,4.9,102.6,21.1,9,"PB,AP-2,AP OPoY-6"
William Andrews,26,ATL,16,16,289,1301,10,29,4.5,81.3,18.1,12,"PB,AP-2,AP OPoY-8"
Wilbert Montgomery,27,PHI,15,15,286,1402,8,41,4.9,93.5,19.1,6,
Ted Brown,24,MIN,16,16,274,1063,6,34,3.9,66.4,17.1,3,
Pete Johnson,27,CIN,16,16,274,1077,12,39,3.9,67.3,17.1,4,PB
Wendell Tyler,26,RAM,15,15,260,1074,12,69,4.1,71.6,17.3,11,
Joe Cribbs,23,BUF,15,15,257,1097,3,35,4.3,73.1,17.1,12,PB
Chuck Muncie,28,SDG,15,14,251,1144,19,73,4.6,76.3,16.7,9,"PB,AP MVP-6,AP OPoY-6"
Mike Pruitt,27,CLE,16,16,247,1103,7,21,4.5,68.9,15.4,5,
Franco Harris,31,PIT,16,16,242,987,8,50,4.1,61.7,15.1,6,
Joe Delaney,23,KAN,15,10,234,1121,3,82,4.8,74.7,15.6,9,"PB,AP OPoY-8,AP ORoY-3"
Joe Washington,28,WAS,14,13,210,916,4,32,4.4,65.4,15.0,8,
Rob Carpenter,26,2TM,14,13,208,822,5,35,4.0,58.7,14.9,3,
Rob Carpenter,26,HOU,4,4,18,74,0,20,4.1,18.5,4.5,1,
Rob Carpenter,26,NYG,10,9,190,748,5,35,3.9,74.8,19.0,2,
Tony Collins,22,NWE,16,11,204,873,7,29,4.3,54.6,12.8,8,
Andra Franklin,22,MIA,16,11,201,711,7,29,3.5,44.4,12.6,5,
Gerry Ellis,24,GNB,16,16,196,860,4,29,4.4,53.8,12.3,5,
John Riggins,32,WAS,15,4,195,714,13,24,3.7,47.6,13.0,1,
Dave Preston,26,DEN,16,14,183,640,3,23,3.5,40.0,11.4,4,
Rick Parros,23,DEN,16,16,176,749,2,25,4.3,46.8,11.0,6,
Jerry Eckwood,27,TAM,16,12,172,651,2,59,3.8,40.7,10.8,3,
Ron Springs,25,DAL,16,13,172,625,10,16,3.6,39.1,10.8,3,
Kenny King,24,OAK,14,14,170,828,0,60,4.9,59.1,12.1,10,
Curtis Dickey,25,BAL,15,15,164,779,7,67,4.8,51.9,10.9,8,
Lynn Cain,26,ATL,16,16,156,542,4,35,3.5,33.9,9.8,3,
Theotis Brown,24,2TM,14,10,156,583,8,43,3.7,41.6,11.1,8,
Theotis Brown,24,STL,4,3,15,52,2,11,3.5,13.0,3.8,2,
Theotis Brown,24,SEA,10,7,141,531,6,43,3.8,53.1,14.1,6,
Ricky Patton,27,SFO,16,15,152,543,4,28,3.6,33.9,9.5,3,
Matt Suhey,23,CHI,15,14,150,521,3,26,3.5,34.7,10.0,3,
Randy McMillan,23,BAL,16,16,149,597,3,42,4.0,37.3,9.3,1,
Tony Nathan,25,MIA,13,11,147,782,5,46,5.3,60.2,11.3,2,
James Hadnot,24,KAN,16,15,140,603,3,30,4.3,37.7,8.8,4,
Harlan Huckleby,24,GNB,16,12,139,381,5,22,2.7,23.8,8.7,3,
Freeman McNeil,22,NYJ,11,6,137,623,2,43,4.5,56.6,12.5,5,
Frank Pollard,24,PIT,14,10,123,570,2,29,4.6,40.7,8.8,5,
Derrick Jensen,25,OAK,16,13,117,456,4,33,3.9,28.5,7.3,0,
Mike Guman,23,RAM,16,4,115,433,4,18,3.8,27.1,7.2,2,
Billy Jackson,22,KAN,16,1,111,398,10,31,3.6,24.9,6.9,1,
James Brooks,23,SDG,14,2,109,525,3,28,4.8,37.5,7.8,7,
Cullen Bryant,30,RAM,13,12,109,436,1,20,4.0,33.5,8.4,1,
Wayne Morris,27,STL,16,13,109,417,5,14,3.8,26.1,6.8,0,
James Wilder,23,TAM,16,16,107,370,4,23,3.5,23.1,6.7,3,
Dexter Bussey,29,DET,16,15,105,446,0,23,4.2,27.9,6.6,3,
Charles Alexander,24,CIN,15,14,98,292,2,16,3.0,19.5,6.5,0,
Earl Cooper,24,SFO,16,11,98,330,1,23,3.4,20.6,6.1,3,
Charles White,23,CLE,16,8,97,342,1,26,3.5,21.4,6.1,8,
Johnny Davis,25,SFO,16,5,94,297,7,14,3.2,18.6,5.9,1,
Roosevelt Leaks,28,BUF,16,5,91,357,6,31,3.9,22.3,5.7,1,
James Owens,26,TAM,16,1,91,406,3,35,4.5,25.4,5.7,1,
Sam Cunningham,31,NWE,11,8,86,269,4,12,3.1,24.5,7.8,2,
Mike Augustyniak,25,NYJ,10,8,85,339,1,12,4.0,33.9,8.5,3,
Sherman Smith,27,SEA,16,8,83,253,3,21,3.0,15.8,5.2,3,
Bruce Harper,26,NYJ,16,7,81,393,4,29,4.9,24.6,5.1,7,
Vagas Ferguson,24,NWE,13,5,78,340,3,19,4.4,26.2,6.0,1,
Rick Kane,27,DET,16,2,77,332,2,20,4.3,20.8,4.8,2,
Walt Easley,24,SFO,12,1,76,224,1,9,2.9,18.7,6.3,2,
Hubie Oliver,24,PHI,13,10,75,329,1,39,4.4,25.3,5.8,1,
Scott Dierking,26,NYJ,16,4,74,328,1,15,4.4,20.5,4.6,2,
Zachary Dixon,25,BAL,16,1,73,285,0,41,3.9,17.8,4.6,1,
Kevin Long,26,NYJ,16,0,73,269,2,19,3.7,16.8,4.6,2,
Tom Newton,27,NYJ,16,7,73,244,1,13,3.3,15.3,4.6,2,
Leon Perry,24,NYG,16,6,72,257,0,23,3.6,16.1,4.5,4,
Arthur Whittington,26,OAK,16,2,69,220,1,13,3.2,13.8,4.3,4,
John Cappelletti,29,SDG,16,6,68,254,4,30,3.7,15.9,4.3,3,
Tony Reed,26,DEN,15,0,68,156,0,10,2.3,10.4,4.5,1,
Dan Doornink,25,SEA,15,8,65,194,1,11,3.0,12.9,4.3,3,
David Woodley,23,MIA,15,15,63,272,4,26,4.3,18.1,4.2,9,
Curtis Brown,27,BUF,14,8,62,226,0,13,3.6,16.1,4.4,4,
Paul Hofer,29,SFO,12,0,60,193,1,12,3.2,16.1,5.0,1,
Jack Holmes,28,NOR,16,15,58,194,2,11,3.3,12.1,3.6,0,
Don Calhoun,29,NWE,14,7,57,205,2,33,3.6,14.6,4.1,1,
Sidney Thornton,27,PIT,16,6,56,202,4,17,3.6,12.6,3.5,6,
Ted McKnight,27,KAN,5,5,54,195,5,26,3.6,39.0,10.8,2,
Terdell Middleton,26,GNB,14,3,53,181,0,34,3.4,12.9,3.8,2,
Cleo Miller,29,CLE,12,2,52,165,2,13,3.2,13.8,4.3,0,
Leon Bright,26,NYG,15,1,51,197,2,25,3.9,13.1,3.4,3,
Roland Hooks,28,BUF,16,1,51,250,3,19,4.9,15.6,3.2,1,
Doug Williams,26,TAM,16,16,48,209,4,29,4.4,13.1,3.0,9,
Russell Davis,25,PIT,16,0,47,270,1,28,5.7,16.9,2.9,3,
Archie Griffin,27,CIN,16,2,47,163,3,23,3.5,10.2,2.9,0,
David Hughes,22,SEA,16,2,47,135,0,15,2.9,8.4,2.9,4,
Rickey Young,28,MIN,16,13,47,129,0,13,2.7,8.1,2.9,4,
Ken Anderson,32,CIN,16,16,46,320,1,25,7.0,20.0,2.9,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
Wilbur Jackson,30,WAS,5,2,46,183,0,14,4.0,36.6,9.2,2,
Doug Kotar,30,NYG,7,5,46,154,1,18,3.3,22.0,6.6,0,
Wayne Wilson,24,NOR,16,0,44,137,1,13,3.1,8.6,2.8,1,
Vince Evans,26,CHI,16,16,43,218,3,25,5.1,13.6,2.7,13,
Tony Galbreath,27,MIN,14,1,42,198,2,21,4.7,14.1,3.0,2,
Eric Hipple,24,DET,16,10,41,168,7,18,4.1,10.5,2.6,14,
Frank Hawkins,22,OAK,13,0,40,165,0,19,4.1,12.7,3.1,1,
Mark van Eeghen,29,OAK,8,3,39,150,2,11,3.8,18.8,4.9,0,
Terry Bradshaw,33,PIT,14,14,38,162,2,16,4.3,11.6,2.7,7,
Booker Russell,25,PHI,12,1,38,123,4,17,3.2,10.3,3.2,3,
Brian Sipe,32,CLE,16,16,38,153,1,22,4.0,9.6,2.4,10,
Mosi Tatupu,26,NWE,16,1,38,201,2,43,5.3,12.6,2.4,2,
Danny White,29,DAL,16,15,38,104,0,17,2.7,6.5,2.4,14,
Billy Taylor,25,2TM,8,3,38,111,2,14,2.9,13.9,4.8,2,
Billy Taylor,25,NYG,5,3,36,110,2,14,3.1,22.0,7.2,2,
Billy Taylor,25,NYJ,3,0,2,1,0,2,0.5,0.3,0.7,0,
Eddie Hill,24,MIA,11,3,37,146,1,24,3.9,13.3,3.4,2,
Joe Theismann,32,WAS,16,16,36,177,2,24,4.9,11.1,2.3,7,
Toussaint Tyler,22,NOR,16,0,36,183,0,42,5.1,11.4,2.3,4,
Louie Giammona,28,PHI,8,1,35,98,1,9,2.8,12.3,4.4,2,
Vince Thompson,24,DET,13,1,35,211,1,30,6.0,16.2,2.7,1,
Tommy Vigorito,22,MIA,16,1,35,116,1,30,3.3,7.3,2.2,1,
Roland Harper,28,CHI,15,2,34,106,1,11,3.1,7.1,2.3,1,
Perry Harrington,23,PHI,4,4,34,140,2,16,4.1,35.0,8.5,1,
James Jones,23,DAL,16,0,34,183,1,59,5.4,11.4,2.1,4,
Lawrence McCutcheon,31,BUF,6,3,34,138,0,12,4.1,23.0,5.7,1,
Jewerl Thomas,24,RAM,15,1,34,118,0,40,3.5,7.9,2.3,1,
Larry Canada,27,DEN,16,0,33,113,3,11,3.4,7.1,2.1,1,
Richard Todd,28,NYJ,16,16,32,131,0,19,4.1,8.2,2.0,5,
Adger Armstrong,24,HOU,16,2,31,146,0,18,4.7,9.1,1.9,2,
Billy Campfield,25,PHI,16,0,31,115,1,13,3.7,7.2,1.9,3,
Jim Jodat,27,SEA,12,6,31,106,1,15,3.4,8.8,2.6,4,
Stump Mitchell,22,STL,16,0,31,175,0,43,5.6,10.9,1.9,3,
Greg Pruitt,30,CLE,15,6,31,124,0,15,4.0,8.3,2.1,3,
Ricky Bell,26,TAM,7,3,30,80,0,8,2.7,11.4,4.3,1,
Rob Lytle,27,DEN,16,0,30,106,4,18,3.5,6.6,1.9,1,
Willie McClendon,24,CHI,16,0,30,74,0,17,2.5,4.6,1.9,0,
Marc Wilson,24,OAK,13,9,30,147,2,18,4.9,11.3,2.3,8,
Jim Zorn,28,SEA,13,13,30,140,1,20,4.7,10.8,2.3,2,
Woody Bennett,26,MIA,3,3,28,104,0,12,3.7,34.7,9.3,1,
Louis Jackson,23,NYG,11,3,27,68,1,9,2.5,6.2,2.5,1,
Jim Jensen,28,GNB,15,0,27,79,0,15,2.9,5.3,1.8,1,
Greg Hawthorne,25,PIT,10,0,25,58,2,16,2.3,5.8,2.5,1,
Joe Montana,25,SFO,16,16,25,95,2,20,3.8,5.9,1.6,2,"PB,AP-2,AP MVP-2,AP OPoY-3"
Bill Kenney,26,KAN,13,13,24,89,1,21,3.7,6.8,1.8,4,
Calvin Murray,23,PHI,7,0,23,134,0,20,5.8,19.1,3.3,0,
Dan Fouts,30,SDG,16,16,22,56,0,13,2.5,3.5,1.4,9,"PB,AP MVP-6,AP OPoY-5"
Ron Jaworski,30,PHI,16,16,22,128,0,26,5.8,8.0,1.4,3,
Bill Ring,25,SFO,12,0,22,106,0,16,4.8,8.8,1.8,1,
Ronnie Coleman,30,HOU,16,0,21,91,1,30,4.3,5.7,1.3,2,
Cleveland Franklin,26,BAL,9,0,21,52,1,8,2.5,5.8,2.3,2,
