Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Jonathan Taylor,22,IND,17,17,332,1811,18,107,55.4,83,5.5,106.5,19.5,4,"PB,AP-1,AP OPoY-2"
Najee Harris,23,PIT,17,17,307,1200,7,62,47.6,37,3.9,70.6,18.1,0,PB
Joe Mixon,25,CIN,16,16,292,1205,13,60,49.7,32,4.1,75.3,18.3,2,PB
Antonio Gibson,23,WAS,16,14,258,1037,7,65,51.2,27,4.0,64.8,16.1,6,
Dalvin Cook,26,MIN,13,13,249,1159,6,57,46.2,66,4.7,89.2,19.2,3,PB
Alvin Kamara,26,NOR,13,10,240,898,4,42,41.3,30,3.7,69.1,18.5,0,PB
Ezekiel Elliott,26,DAL,17,17,237,1002,10,55,51.5,47,4.2,58.9,13.9,1,
Nick Chubb,26,CLE,14,14,228,1259,8,61,49.1,70,5.5,89.9,16.3,2,PB
David Montgomery,24,CHI,13,13,225,849,7,55,46.7,41,3.8,65.3,17.3,1,
Derrick Henry,27,TEN,8,8,219,937,10,49,44.7,76,4.3,117.1,27.4,1,
Josh Jacobs,23,LVR,15,14,217,872,9,45,53.0,28,4.0,58.1,14.5,2,
Sony Michel,26,LAR,17,7,208,845,4,49,51.4,39,4.1,49.7,12.2,1,
Elijah Mitchell,23,SFO,11,10,207,963,5,47,49.8,39,4.7,87.5,18.8,0,
Austin Ekeler,26,LAC,16,16,206,911,12,53,55.8,28,4.4,56.9,12.9,4,
Melvin Gordon,28,DEN,16,16,203,918,8,48,55.2,70,4.5,57.4,12.7,3,
Javonte Williams,21,DEN,17,1,203,903,4,52,46.3,49,4.4,53.1,11.9,2,
James Conner,26,ARI,15,6,202,752,15,53,50.0,35,3.7,50.1,13.5,2,PB
Damien Harris,24,NWE,15,15,202,929,15,55,54.0,64,4.6,61.9,13.5,2,
Devin Singletary,24,BUF,17,16,188,870,7,44,47.3,46,4.6,51.2,11.1,5,
AJ Dillon,23,GNB,17,2,187,803,5,50,61.0,36,4.3,47.2,11.0,2,
Leonard Fournette,26,TAM,14,13,180,812,8,45,56.1,47,4.5,58.0,12.9,1,
Myles Gaskin,24,MIA,17,10,173,612,3,25,41.6,30,3.5,36.0,10.2,2,
Chuba Hubbard,22,CAR,17,10,172,612,5,36,43.0,26,3.6,36.0,10.1,1,
Aaron Jones,27,GNB,15,15,171,799,4,37,49.7,57,4.7,53.3,11.4,2,
James Robinson,23,JAX,14,13,164,767,8,41,50.0,58,4.7,54.8,11.7,4,
Saquon Barkley,24,NYG,13,13,162,593,2,27,42.0,41,3.7,45.6,12.5,2,
Mark Ingram,32,2TM,14,10,160,554,2,23,38.1,28,3.5,39.6,11.4,1,
Mark Ingram,32,HOU,7,7,92,294,1,14,37.0,24,3.2,42.0,13.1,0,
Mark Ingram,32,NOR,7,3,68,260,1,9,39.7,28,3.8,37.1,9.7,1,
Cordarrelle Patterson,30,ATL,16,13,153,618,6,29,43.1,39,4.0,38.6,9.6,2,
Jamaal Williams,26,DET,13,11,153,601,3,42,54.2,20,3.9,46.2,11.8,1,
D'Andre Swift,22,DET,13,4,151,617,5,28,36.4,57,4.1,47.5,11.6,2,
Darrell Henderson,24,LAR,12,10,149,688,5,39,57.0,29,4.6,57.3,12.4,0,
Michael Carter,22,NYJ,14,11,147,639,4,29,51.0,55,4.3,45.6,10.5,1,
Devontae Booker,29,NYG,16,4,145,593,2,31,44.1,31,4.1,37.1,9.1,0,
Darrel Williams,26,KAN,17,7,144,558,6,40,56.9,21,3.9,32.8,8.5,0,
Jalen Hurts,23,PHI,15,15,139,784,10,56,61.9,31,5.6,52.3,9.3,9,
Mike Davis,28,ATL,17,8,138,503,3,21,42.0,18,3.6,29.6,8.1,4,
Miles Sanders,24,PHI,12,12,137,754,0,33,59.1,38,5.5,62.8,11.4,1,
Alexander Mattison,23,MIN,16,4,134,491,3,28,44.0,48,3.7,30.7,8.4,1,
D'Onta Foreman,25,TEN,9,3,133,566,3,22,48.9,35,4.3,62.9,14.8,2,
Devonta Freeman,29,BAL,16,8,133,576,5,31,58.6,32,4.3,36.0,8.3,0,
Lamar Jackson,24,BAL,12,12,133,767,2,48,56.4,31,5.8,63.9,11.1,6,PB
Rhamondre Stevenson,23,NWE,12,2,133,606,5,33,57.9,21,4.6,50.5,11.1,2,
Tony Pollard,24,DAL,15,0,130,719,2,35,53.8,58,5.5,47.9,8.7,2,
Josh Allen,25,BUF,17,17,122,763,6,54,61.5,34,6.3,44.9,7.2,8,
Rex Burkhead,31,HOU,16,5,122,427,3,30,44.3,36,3.5,26.7,7.6,1,
Clyde Edwards-Helaire,22,KAN,10,10,119,517,4,21,56.3,17,4.3,51.7,11.9,2,
Latavius Murray,31,BAL,14,6,119,501,6,36,58.0,46,4.2,35.8,8.5,0,
Rashaad Penny,25,SEA,10,6,119,749,6,28,46.2,62,6.3,74.9,11.9,0,
Chase Edmonds,25,ARI,12,11,116,592,2,32,56.9,54,5.1,49.3,9.7,1,
Alex Collins,27,SEA,11,6,108,411,2,22,50.9,25,3.8,37.4,9.8,1,
Khalil Herbert,23,CHI,17,2,103,433,2,24,50.5,29,4.2,25.5,6.1,1,
Ronald Jones II,24,TAM,16,3,101,428,4,25,62.4,30,4.2,26.8,6.3,2,
D'Ernest Johnson,25,CLE,17,2,100,534,3,24,52.0,30,5.3,31.4,5.9,1,
Christian McCaffrey,25,CAR,7,7,99,442,1,20,50.5,18,4.5,63.1,14.1,1,
Zack Moss,24,BUF,13,0,96,345,4,22,49.0,17,3.6,26.5,7.4,2,
Kyler Murray,24,ARI,14,14,88,423,5,25,53.4,57,4.8,30.2,6.3,13,PB
Phillip Lindsay,27,2TM,14,1,88,249,1,11,37.5,35,2.8,17.8,6.3,0,
Phillip Lindsay,27,HOU,10,1,50,130,1,7,30.0,35,2.6,13.0,5.0,0,
Phillip Lindsay,27,MIA,4,0,38,119,0,4,47.4,9,3.1,29.8,9.5,0,
Boston Scott,26,PHI,16,4,87,373,7,24,56.3,23,4.3,23.3,5.4,1,
Jordan Howard,27,PHI,7,0,86,406,3,24,62.8,25,4.7,58.0,12.3,0,
Tevin Coleman,28,NYJ,11,5,84,356,0,19,53.6,20,4.2,32.4,7.6,0,
Jeff Wilson,26,SFO,9,4,79,294,2,19,50.6,17,3.7,32.7,8.8,1,
Kareem Hunt,26,CLE,8,1,78,386,5,22,47.4,33,4.9,48.3,9.8,0,
Trevor Lawrence,22,JAX,17,17,73,334,2,22,50.7,26,4.6,19.6,4.3,9,
Justin Fields,22,CHI,12,10,72,420,2,22,48.6,23,5.8,35.0,6.0,12,
Carlos Hyde,31,JAX,12,2,72,253,1,14,50.0,18,3.5,21.1,6.0,2,
Duke Johnson,28,MIA,5,4,71,330,3,18,49.3,27,4.6,66.0,14.2,0,
Taysom Hill,31,NOR,12,9,70,374,5,26,61.4,44,5.3,31.2,5.8,2,
Kenneth Gainwell,22,PHI,16,1,68,291,5,19,50.0,18,4.3,18.2,4.3,2,
Justin Jackson,25,LAC,14,2,68,364,2,18,50.0,75,5.4,26.0,4.9,1,
Jaret Patterson,22,WAS,17,1,68,266,2,15,50.0,13,3.9,15.6,4.0,1,
David Johnson,30,HOU,13,4,67,228,0,7,34.3,15,3.4,17.5,5.2,1,
Patrick Mahomes,26,KAN,17,17,66,381,2,25,50.0,32,5.8,22.4,3.9,9,PB
Kenyan Drake,27,LVR,12,2,63,254,2,15,44.4,21,4.0,21.2,5.3,1,
Justin Herbert,23,LAC,17,17,63,302,3,28,58.7,36,4.8,17.8,3.7,1,PB
Daniel Jones,24,NYG,11,11,62,298,2,16,48.4,46,4.8,27.1,5.6,7,
Ty Johnson,24,NYJ,16,3,61,238,2,13,47.5,24,3.9,14.9,3.8,2,
Taylor Heinicke,28,WAS,16,15,60,313,1,20,46.7,38,5.2,19.6,3.8,7,
Deebo Samuel,25,SFO,16,15,59,365,8,21,54.2,49,6.2,22.8,3.7,4,"PB,AP-1"
Carson Wentz,29,IND,17,17,57,215,1,21,49.1,18,3.8,12.6,3.4,8,
Dontrell Hilliard,26,TEN,8,5,56,350,2,15,46.4,68,6.3,43.8,7.0,2,
Nyheim Hines,25,IND,17,4,56,276,2,15,48.2,34,4.9,16.2,3.3,3,
Royce Freeman,25,2TM,15,0,56,169,0,8,44.6,13,3.0,11.3,3.7,0,
Royce Freeman,25,CAR,8,0,21,77,0,4,47.6,13,3.7,9.6,2.6,0,
Royce Freeman,25,HOU,7,0,35,92,0,4,42.9,13,2.6,13.1,5.0,0,
Peyton Barber,27,LVR,10,1,55,212,2,12,47.3,27,3.9,21.2,5.5,2,
Samaje Perine,26,CIN,16,0,55,246,1,11,41.8,46,4.5,15.4,3.4,0,
Craig Reynolds,25,DET,5,2,55,230,0,11,43.6,35,4.2,46.0,11.0,0,
